"run";"gen";"nf1";"nf2";"nf3";"nf4";"nf5";"nf6";"tfr";"cm";"mr";"ad";"fnf1";"fnf2";"fnf3";"fnf4";"fnf5";"fnf6";"divm1";"divm2";"divm3";"divm4";"divm5";"divm6";"divf1";"divf2";"divf3";"divf4";"divf5";"divf6";"divt1";"divt2";"divt3";"divt4";"divt5";"divt6"
1;1;57;49;28;27;49;55;1;1;0;0;70;57;27;32;61;67;0,938983050847458;0,919661733615222;0,895238095238095;0,923280423280423;0,933333333333333;0,928370221327968;0,952380952380952;0,951754385964912;0,957264957264957;0,967741935483871;0,949726775956284;0,952962460425147;0,948837209302326;0,945742574257426;0,947695035460993;0,949152542372881;0,945131858517685;0,950068761239818
1;2;57;49;28;27;49;55;1;1;0;0;77;77;41;45;73;81;0,917505030181087;0,92972972972973;0,906349206349206;0,924731182795699;0,932919254658385;0,927272727272727;0,952836637047163;0,956254272043746;0,959756097560976;0,944444444444444;0,952435312024353;0,941358024691358;0,943280014708586;0,94841408156152;0,945317840054682;0,948070175438597;0,947897173249286;0,946044171093095
1;3;57;49;28;27;49;55;1;1;0;0;82;103;53;59;94;95;0,941447368421053;0,9428983714698;0,939393939393939;0,931122448979592;0,948672114402452;0,913771821548228;0,952725082806384;0,944222349133828;0,957910014513788;0,945645821157218;0,940059482955845;0,949608062709966;0,950041261981845;0,949509876360771;0,950328833506404;0,948078920041537;0,948717948717949;0,938919265060835
1;4;57;49;28;27;49;55;1;1;0;0;109;114;90;73;109;122;0,943404165790027;0,937394957983193;0,93859649122807;0,92241968557758;0,923946110386788;0,939581491305629;0,943594971117907;0,939295140506133;0,949812734082397;0,949771689497717;0,94886170574244;0,945535835252676;0,945171427231368;0,942408569018011;0,942971887550201;0,938076062639821;0,939807414915598;0,945255089483492
1;5;57;49;28;27;49;55;1;1;0;0;121;133;98;88;136;138;0,941200379352391;0,924546790788829;0,941660947151682;0,931637244721357;0,937848862172606;0,935046248715313;0,942011019283747;0,94645705172021;0,937933936461182;0,940961337513062;0,939869281045752;0,946577805987517;0,945039621807299;0,935210595394344;0,944480802792321;0,936211407639979;0,944704804998923;0,945692543438174
1;6;57;49;28;27;49;55;1;1;0;0;154;165;139;111;154;146;0,948663522012579;0,944761225944405;0,924378109452736;0,928011204481793;0,923976608187135;0,945013303233089;0,942279942279942;0,940428677014043;0,944739860285684;0,941195741195741;0,935149817502759;0,937269721303732;0,948291650556562;0,94373085663472;0,937862623994011;0,936533032185206;0,93574140619703;0,944958311620636
1;7;57;49;28;27;49;55;1;1;0;0;186;202;162;131;174;173;0,941419258008536;0,937830687830688;0,939530758687414;0,928266082785945;0,925505433792727;0,923654568210263;0,930950305143853;0,941579232550121;0,925849244689824;0,940810334703464;0,941797887183576;0,943070305148541;0,941943189489536;0,942823537472451;0,935344827586207;0,937601542062508;0,935701851558791;0,941566635887966
1;8;57;49;28;27;49;55;1;1;0;0;219;233;208;163;204;226;0,933165730703931;0,938761711581184;0,919883769198838;0,918836689038031;0,934410999628391;0,938635134090734;0,926437937246031;0,933328400177594;0,939334819769602;0,939710671817011;0,9357191152323;0,937738446411013;0,933214472801463;0,936630067390255;0,930595985904703;0,930838862947489;0,935912881203789;0,940455699156869
1;9;57;49;28;27;49;55;1;1;0;0;238;277;249;223;254;271;0,913799196787149;0,933975636766334;0,937521603871414;0,936075689016866;0,93025989290845;0,93460002753683;0,936212459667411;0,937032386333909;0,934382692058557;0,934916979760029;0,938190532507547;0,932485991526582;0,927592823240314;0,936522881147566;0,937355324074074;0,936103146035426;0,934044262073463;0,937851714931197
1;10;57;49;28;27;49;55;1;1;0;0;287;319;284;268;281;296;0,935784609202331;0,939726398483001;0,931776624660242;0,933244916003537;0,931344183242917;0,929262227134568;0,935990838429863;0,93127107115396;0,941024237296571;0,928112247750014;0,939476359938993;0,934173156207055;0,936254497170846;0,93535003900156;0,93780786653135;0,932176204387925;0,935212977639877;0,932058785942492
