"run";"gen";"mr";"ad";"divM1_10";"divM2_10";"divM3_10";"divM4_10";"divM5_10";"divM6_10";"divM10_mean";"divF1_10";"divF2_10";"divF3_10";"divF4_10";"divF5_10";"divF6_10";"divF10_mean";"divT1_10";"divT2_10";"divT3_10";"divT4_10";"divT5_10";"divT6_10";"divT10_mean";"divM1_20";"divM2_20";"divM3_20";"divM4_20";"divM5_20";"divM6_20";"divm20_mean";"divF1_20";"divF2_20";"divF3_20";"divF4_20";"divF5_20";"divF6_20";"divF20_mean";"divT1_20";"divT2_20";"divT3_20";"divT4_20";"divT5_20";"divT6_20";"divT20_mean";"divM1_30";"divM2_30";"divM3_30";"divM4_30";"divM5_30";"divM6_30";"divM30_mean";"divF1_30";"divF2_30";"divF3_30";"divF4_30";"divF5_30";"divF6_30";"divF30_mean";"divT1_30";"divT2_30";"divT3_30";"divT4_30";"divT5_30";"divT6_30";"divT30_mean";"divM1_50";"divM2_50";"divM3_50";"divM4_50";"divM5_50";"divM6_50";"divM50_mean";"divF1_50";"divF2_50";"divF3_50";"divF4_50";"divF5_50";"divF6_50";"divF50_mean";"divT1_50";"divT2_50";"divT3_50";"divT4_50";"divT5_50";"divT6_50";"divT50_mean"
1;15;0;0;0,8;1;1;0,9;1;1;0,95;1;1;0,9;0,7;0,7;0,9;0,866666666666667;0,955555555555556;0,955555555555556;0,822222222222222;0,711111111111111;0,911111111111111;0,955555555555556;0,885185185185185;0,955555555555556;0,933333333333333;0,977777777777778;0,933333333333333;0,933333333333333;0,911111111111111;0,940740740740741;0,844444444444444;0,866666666666667;0,888888888888889;0,733333333333333;0,844444444444444;0,844444444444444;0,837037037037037;0,947368421052632;0,947368421052632;0,963157894736842;0,936842105263158;0,889473684210526;0,884210526315789;0,928070175438596;0,942857142857143;0,942857142857143;0,923809523809524;0,952380952380952;0,876190476190476;0,942857142857143;0,93015873015873;0,857142857142857;0,895238095238095;0,885714285714286;0,771428571428571;0,628571428571429;0,933333333333333;0,828571428571429;0,944827586206897;0,931034482758621;0,937931034482759;0,917241379310345;0,811494252873563;0,947126436781609;0,914942528735632;0,883333333333333;0,913333333333333;0,926666666666667;0,93;0,936666666666667;0,95;0,923333333333333;0,87;0,86;0,866666666666667;0,783333333333333;0,776666666666667;0,9;0,842777777777778;0,944489795918367;0,933061224489796;0,92734693877551;0,928979591836735;0,907755102040816;0,932244897959184;0,928979591836735
2;15;0;0;0,9;0,9;1;1;0,9;1;0,95;0,7;0,8;0,7;0,7;0,8;0,7;0,733333333333333;0,822222222222222;0,933333333333333;0,933333333333333;0,866666666666667;0,911111111111111;0,933333333333333;0,9;0,888888888888889;0,911111111111111;0,844444444444444;0,955555555555556;0,933333333333333;0,977777777777778;0,918518518518519;0,644444444444444;0,888888888888889;0,888888888888889;0,822222222222222;0,844444444444444;0,822222222222222;0,818518518518519;0,868421052631579;0,91578947368421;0,957894736842105;0,931578947368421;0,889473684210526;0,905263157894737;0,91140350877193;0,942857142857143;0,904761904761905;0,885714285714286;0,857142857142857;0,914285714285714;0,866666666666667;0,895238095238095;0,542857142857143;0,819047619047619;0,809523809523809;0,695238095238095;0,733333333333333;0,780952380952381;0,73015873015873;0,855172413793103;0,882758620689655;0,940229885057471;0,903448275862069;0,868965517241379;0,873563218390805;0,887356321839081;0,923333333333333;0,913333333333333;0,906666666666667;0,89;0,906666666666667;0,933333333333333;0,912222222222222;0,636666666666667;0,76;0,623333333333333;0,676666666666667;0,703333333333333;0,813333333333333;0,702222222222222;0,828571428571429;0,873469387755102;0,898775510204082;0,836734693877551;0,889795918367347;0,884897959183673;0,868707482993197
3;15;0;0;0,9;1;0,9;0,4;1;0,8;0,833333333333333;0,7;0,9;0,7;0,9;0,9;0,9;0,833333333333333;0,933333333333333;0,911111111111111;0,911111111111111;0,955555555555556;0,844444444444444;0,933333333333333;0,914814814814815;0,977777777777778;0,955555555555556;0,933333333333333;0,933333333333333;0,844444444444444;0,933333333333333;0,92962962962963;0,733333333333333;0,755555555555556;0,844444444444444;0,866666666666667;0,844444444444444;0,844444444444444;0,814814814814815;0,9;0,894736842105263;0,942105263157895;0,889473684210526;0,921052631578947;0,921052631578947;0,91140350877193;0,952380952380952;0,914285714285714;0,923809523809524;0,961904761904762;0,952380952380952;0,971428571428571;0,946031746031746;0,780952380952381;0,838095238095238;0,819047619047619;0,923809523809524;0,885714285714286;0,714285714285714;0,826984126984127;0,862068965517241;0,924137931034483;0,87816091954023;0,917241379310345;0,947126436781609;0,873563218390805;0,900383141762452;0,94;0,94;0,95;0,903333333333333;0,93;0,923333333333333;0,931111111111111;0,663333333333333;0,81;0,773333333333333;0,896666666666667;0,886666666666667;0,77;0,8;0,890612244897959;0,940408163265306;0,882448979591837;0,916734693877551;0,915918367346939;0,92734693877551;0,912244897959184
4;15;0;0;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,8;0,9;0,8;0,7;0,9;0,833333333333333;0,933333333333333;0,955555555555556;0,844444444444444;0,911111111111111;0,933333333333333;0,933333333333333;0,918518518518519;0,933333333333333;0,977777777777778;0,955555555555556;0,955555555555556;0,955555555555556;0,911111111111111;0,948148148148148;0,822222222222222;0,711111111111111;0,777777777777778;0,511111111111111;0,711111111111111;0,888888888888889;0,737037037037037;0,889473684210526;0,936842105263158;0,910526315789474;0,952631578947368;0,931578947368421;0,942105263157895;0,92719298245614;0,933333333333333;0,971428571428571;0,942857142857143;0,952380952380952;0,971428571428571;0,885714285714286;0,942857142857143;0,933333333333333;0,714285714285714;0,809523809523809;0,780952380952381;0,704761904761905;0,952380952380952;0,815873015873016;0,95632183908046;0,914942528735632;0,949425287356322;0,894252873563218;0,917241379310345;0,947126436781609;0,929885057471264;0,926666666666667;0,926666666666667;0,933333333333333;0,933333333333333;0,88;0,933333333333333;0,922222222222222;0,9;0,72;0,85;0,72;0,76;0,84;0,798333333333333;0,933877551020408;0,936326530612245;0,904489795918367;0,91265306122449;0,908571428571429;0,938775510204082;0,922448979591837
5;15;0;0;0,8;0,9;1;0,9;0,9;0,8;0,883333333333333;0,8;0,7;0,9;0;0,8;0,8;0,666666666666667;0,955555555555556;0,955555555555556;1;0,911111111111111;0,822222222222222;0,955555555555556;0,933333333333333;0,933333333333333;0,888888888888889;0,955555555555556;0,977777777777778;0,955555555555556;0,933333333333333;0,940740740740741;0,711111111111111;0,866666666666667;0,822222222222222;0,355555555555555;0,866666666666667;0,955555555555556;0,762962962962963;0,852631578947368;0,947368421052632;0,947368421052632;0,826315789473684;0,947368421052632;0,957894736842105;0,913157894736842;0,933333333333333;0,952380952380952;0,933333333333333;0,942857142857143;0,952380952380952;0,961904761904762;0,946031746031746;0,657142857142857;0,761904761904762;0,6;0,247619047619048;0,847619047619048;0,866666666666667;0,663492063492063;0,917241379310345;0,951724137931035;0,92183908045977;0,829885057471264;0,951724137931035;0,944827586206897;0,919540229885058;0,963333333333333;0,936666666666667;0,926666666666667;0,94;0,923333333333333;0,943333333333333;0,938888888888889;0,643333333333333;0,856666666666667;0,79;0,293333333333333;0,83;0,853333333333333;0,711111111111111;0,883265306122449;0,922448979591837;0,910204081632653;0,853877551020408;0,92;0,940408163265306;0,905034013605442
6;15;0;0;0,9;0,8;0,9;0,9;1;1;0,916666666666667;1;0,4;0,8;0,9;0,4;0,9;0,733333333333333;0,933333333333333;0,955555555555556;0,888888888888889;0,933333333333333;0,933333333333333;0,977777777777778;0,937037037037037;0,955555555555556;0,955555555555556;0,933333333333333;0,933333333333333;0,933333333333333;1;0,951851851851852;0,844444444444444;0,822222222222222;0,8;0,777777777777778;0,688888888888889;0,866666666666667;0,8;0,952631578947368;0,973684210526316;0,873684210526316;0,921052631578947;0,921052631578947;0,952631578947368;0,932456140350877;0,952380952380952;0,933333333333333;0,952380952380952;0,904761904761905;0,961904761904762;0,923809523809524;0,938095238095238;0,733333333333333;0,866666666666667;0,828571428571429;0,809523809523809;0,647619047619048;0,895238095238095;0,796825396825397;0,947126436781609;0,903448275862069;0,917241379310345;0,937931034482759;0,935632183908046;0,908045977011494;0,924904214559387;0,93;0,936666666666667;0,946666666666667;0,906666666666667;0,93;0,933333333333333;0,930555555555556;0,9;0,816666666666667;0,863333333333333;0,79;0,563333333333333;0,85;0,797222222222222;0,923265306122449;0,929795918367347;0,910204081632653;0,943673469387755;0,837551020408163;0,934693877551021;0,913197278911565
7;15;0;0;1;0,7;0,8;1;0,8;0,9;0,866666666666667;0,8;0,8;0,9;0,8;0,9;0,7;0,816666666666667;0,866666666666667;0,844444444444444;0,933333333333333;0,911111111111111;0,866666666666667;0,822222222222222;0,874074074074074;0,955555555555556;0,955555555555556;0,866666666666667;0,955555555555556;0,955555555555556;0,977777777777778;0,944444444444445;0,533333333333333;0,822222222222222;0,888888888888889;0,933333333333333;0,688888888888889;0,755555555555556;0,77037037037037;0,873684210526316;0,9;0,936842105263158;0,921052631578947;0,878947368421053;0,905263157894737;0,902631578947368;0,923809523809524;0,923809523809524;0,914285714285714;0,952380952380952;0,838095238095238;0,952380952380952;0,917460317460317;0,695238095238095;0,895238095238095;0,895238095238095;0,752380952380952;0,761904761904762;0,752380952380952;0,792063492063492;0,903448275862069;0,880459770114943;0,944827586206897;0,937931034482759;0,924137931034483;0,942528735632184;0,922222222222222;0,946666666666667;0,933333333333333;0,903333333333333;0,876666666666667;0,923333333333333;0,916666666666667;0,916666666666667;0,75;0,876666666666667;0,823333333333333;0,826666666666667;0,64;0,796666666666667;0,785555555555556;0,886530612244898;0,909387755102041;0,928979591836735;0,936326530612245;0,836734693877551;0,888163265306123;0,897687074829932
8;15;0;0;1;0,9;0,9;1;0,9;0,9;0,933333333333333;0,9;0,9;0,9;0,8;0,9;0,7;0,85;0,911111111111111;0,911111111111111;0,8;0,933333333333333;0,911111111111111;0,933333333333333;0,9;0,866666666666667;0,977777777777778;0,822222222222222;0,911111111111111;0,866666666666667;0,933333333333333;0,896296296296296;0,911111111111111;0,755555555555556;0,822222222222222;0,511111111111111;0,822222222222222;0,8;0,77037037037037;0,931578947368421;0,942105263157895;0,889473684210526;0,931578947368421;0,947368421052632;0,894736842105263;0,92280701754386;0,961904761904762;0,895238095238095;0,933333333333333;0,876190476190476;0,885714285714286;0,923809523809524;0,912698412698413;0,923809523809524;0,914285714285714;0,819047619047619;0,771428571428571;0,780952380952381;0,857142857142857;0,844444444444444;0,898850574712644;0,896551724137931;0,894252873563218;0,92183908045977;0,914942528735632;0,914942528735632;0,906896551724138;0,896666666666667;0,946666666666667;0,953333333333333;0,89;0,923333333333333;0,943333333333333;0,925555555555556;0,843333333333333;0,83;0,863333333333333;0,593333333333333;0,783333333333333;0,846666666666667;0,793333333333333;0,923265306122449;0,920816326530612;0,910204081632653;0,880816326530612;0,933061224489796;0,92;0,91469387755102
9;15;0;0;0,9;1;1;0,9;0,8;0,9;0,916666666666667;0,8;0,9;0,7;0,6;0,9;0,9;0,8;0,911111111111111;0,977777777777778;0,955555555555556;0,911111111111111;0,755555555555556;0,911111111111111;0,903703703703704;0,888888888888889;0,955555555555556;0,933333333333333;0,844444444444444;0,955555555555556;0,977777777777778;0,925925925925926;0,933333333333333;0,844444444444444;0,711111111111111;0,755555555555556;0,822222222222222;0,8;0,811111111111111;0,868421052631579;0,91578947368421;0,936842105263158;0,889473684210526;0,868421052631579;0,921052631578947;0,9;0,933333333333333;0,923809523809524;0,961904761904762;0,895238095238095;0,980952380952381;0,923809523809524;0,936507936507937;0,828571428571429;0,819047619047619;0,466666666666667;0,819047619047619;0,628571428571429;0,828571428571429;0,731746031746032;0,928735632183908;0,935632183908046;0,862068965517241;0,947126436781609;0,887356321839081;0,908045977011494;0,911494252873563;0,936666666666667;0,91;0,903333333333333;0,92;0,94;0,926666666666667;0,922777777777778;0,863333333333333;0,893333333333333;0,64;0,766666666666667;0,623333333333333;0,763333333333333;0,758333333333333;0,935510204081633;0,929795918367347;0,857142857142857;0,893061224489796;0,922448979591837;0,911836734693877;0,908299319727891
10;15;0;0;1;0,9;0,9;0,9;1;0,9;0,933333333333333;0,7;0,9;0,8;0,7;0,8;0,7;0,766666666666667;0,955555555555556;0,933333333333333;0,888888888888889;0,911111111111111;0,911111111111111;0,955555555555556;0,925925925925926;0,933333333333333;0,955555555555556;0,977777777777778;0,911111111111111;0,977777777777778;0,933333333333333;0,948148148148148;0,888888888888889;0,711111111111111;0,977777777777778;0,866666666666667;0,622222222222222;0,8;0,811111111111111;0,931578947368421;0,942105263157895;0,91578947368421;0,926315789473684;0,752631578947368;0,91578947368421;0,897368421052632;0,847619047619048;0,904761904761905;0,857142857142857;0,971428571428571;0,923809523809524;0,923809523809524;0,904761904761905;0,838095238095238;0,533333333333333;0,933333333333333;0,866666666666667;0,676190476190476;0,79047619047619;0,773015873015873;0,92183908045977;0,903448275862069;0,940229885057471;0,935632183908046;0,917241379310345;0,885057471264368;0,917241379310345;0,913333333333333;0,936666666666667;0,893333333333333;0,91;0,94;0,88;0,912222222222222;0,843333333333333;0,636666666666667;0,846666666666667;0,856666666666667;0,66;0,696666666666667;0,756666666666667;0,936326530612245;0,835918367346939;0,915918367346939;0,926530612244898;0,906122448979592;0,881632653061225;0,900408163265306
