"run";"gen";"nf1";"nf2";"nf3";"nf4";"nf5";"nf6";"tfr";"cm";"mr";"ad";"fnf1";"fnf2";"fnf3";"fnf4";"fnf5";"fnf6";"divm1";"divm2";"divm3";"divm4";"divm5";"divm6";"divf1";"divf2";"divf3";"divf4";"divf5";"divf6";"divt1";"divt2";"divt3";"divt4";"divt5";"divt6"
1;1;29;36;26;55;55;53;1;2;0;0;36;49;42;68;65;53;0,926984126984127;0,938775510204082;0,898395721925134;0,937625754527163;0,920673076923077;0,945342344989715;0,96031746031746;0,947278911564626;0,967479674796748;0,946444249341528;0,944711538461539;0,960812772133527;0,947574334898279;0,952174809317666;0,949824561403509;0,949223230111563;0,946451997614788;0,955446623093682
1;2;29;36;26;55;55;53;1;2;0;0;53;67;67;87;80;86;0,946741854636591;0,921428571428571;0,945573294629898;0,945827633378933;0,927321156773212;0,937584803256445;0,949927431059506;0,953414744459521;0,948891904115785;0,952686447473937;0,952848101265823;0,954309165526676;0,952460383653044;0,945221911235506;0,954341736694678;0,953488372093023;0,952012383900929;0,95141038871689
1;3;29;36;26;55;55;53;1;2;0;0;69;94;93;114;90;105;0,921212121212121;0,940191387559809;0,93040293040293;0,932259988073942;0,946091065292096;0,937432075764633;0,96078431372549;0,947838023335621;0,939223936418887;0,949076230399006;0,952059925093633;0,938461538461538;0,947484798231067;0,947574819401445;0,94640522875817;0,943027727180733;0,953021677879363;0,944870344769804
1;4;29;36;26;55;55;53;1;2;0;0;100;132;130;147;117;134;0,946811636791067;0,933627688363481;0,933726578764747;0,947918816649467;0,925386834513506;0,933870246085011;0,945252525252525;0,944945639602128;0,942158616577221;0,948932997856677;0,948717948717949;0,941869599371563;0,94889809643908;0,948557768924303;0,940978620104706;0,949427613435708;0,94484785615491;0,944209426168317
1;5;29;36;26;55;55;53;1;2;0;0;135;170;176;172;153;185;0,93607032264509;0,938433361510285;0,933802923577975;0,939054726368159;0,938583996648513;0,936549637767694;0,951796572692095;0,946884789418726;0,947922077922078;0,944920440636475;0,943498452012384;0,946886016451234;0,946711662219432;0,94639646715889;0,942556422474734;0,944795180028251;0,943208257540505;0,943572445589532
1;6;29;36;26;55;55;53;1;2;0;0;214;213;250;240;221;257;0,947046707859943;0,939363268310637;0,943503528435035;0,938076416337286;0,937691835481891;0,939336785432598;0,947654776008073;0,94259899016742;0,943871485943775;0,949511854951186;0,944385026737968;0,947653210116732;0,948293774474547;0,944546385833774;0,945461144127387;0,945475900076795;0,943387799158819;0,945280118469871
1;7;29;36;26;55;55;53;1;2;0;0;294;295;317;306;313;333;0,939837969056184;0,934793148028442;0,934434001154258;0,942598730184083;0,939622274143302;0,945447886911301;0,945183534164519;0,951366309235559;0,94595296090724;0,949341047894568;0,94619890226919;0,948912768189877;0,943632121329963;0,945860347268798;0,941834678440149;0,94834144503569;0,943840606794544;0,948762527709896
1;8;29;36;26;55;55;53;1;2;0;0;382;420;412;398;420;420;0,94426433915212;0,947896549924317;0,943054404860536;0,946605653382762;0,940640091859824;0,945649568552253;0,947382886039769;0,941732015001705;0,947747620060001;0,942103464425402;0,951392203659507;0,944425502898057;0,946448344455223;0,945032283928496;0,946296438867076;0,945991278094599;0,94674646459226;0,946983347418664
1;9;29;36;26;55;55;53;1;2;0;0;541;570;552;542;543;561;0,944291545344555;0,939458487172205;0,940227711651435;0,941826289652377;0,950194217576823;0,943245482521897;0,943328541110426;0,947966577251565;0,946336042505063;0,946518337641787;0,945974597867526;0,944544181308887;0,945281000160066;0,944687704464241;0,944327931363203;0,945868111396532;0,949100256300598;0,944890987479558
1;10;29;36;26;55;55;53;1;2;0;0;736;759;759;730;697;734;0,943737258806239;0,94290403764088;0,942729772780347;0,940941751468067;0,944400591414868;0,939189277243464;0,947338065661047;0,946541241252724;0,94491780255231;0,947824943157262;0,947484292287142;0,945842363323433;0,94581282669039;0,945848343340005;0,944448406189831;0,945334054763986;0,946804060489021;0,943781629889795
1;11;29;36;26;55;55;53;1;2;0;0;954;972;1035;973;941;992;0,946336045869473;0,946609266906936;0,94469004623346;0,945664855495183;0,946318109108807;0,945681020273431;0,946684969235406;0,946209626493412;0,948472701109149;0,947893537022234;0,945879214054763;0,945194248234107;0,947058509916698;0,946769958982398;0,946982500259139;0,946957741981564;0,946391591516662;0,94625317253201
1;12;29;36;26;55;55;53;1;2;0;0;1207;1249;1307;1292;1281;1282;0,944927984507592;0,945326252965329;0,947268752975804;0,94744259602592;0,944869730679157;0,941628508535657;0,945999084939841;0,946898544476607;0,944462084827721;0,945176537735645;0,947267759562841;0,946582781344041;0,945612206181421;0,946430342231361;0,946119825794469;0,946625558542427;0,946064808676109;0,944816183188416
1;13;29;36;26;55;55;53;1;2;0;0;1567;1663;1642;1681;1685;1700;0,945319547117114;0,944530423197207;0,944456955893601;0,943730782189749;0,945916755089685;0,94635528176394;0,947833712725995;0,945861400496254;0,947559530039094;0,945583694512903;0,946791234661009;0,946022227607935;0,946805491402809;0,945450279800261;0,946085000769091;0,944760587658205;0,946595464137805;0,946432254893759
1;14;29;36;26;55;55;53;1;2;0;0;2061;2155;2169;2320;2158;2280;0,947023370048367;0,945556855319085;0,945799409065888;0,945106721971724;0,944129539267066;0,944629267068985;0,944797275335284;0,946518967571259;0,945260199489962;0,946531278345303;0,946170474129319;0,946443115247531;0,946107830282382;0,946254399818219;0,94548582475969;0,946006472228816;0,945239362483209;0,945878456744545
1;15;29;36;26;55;55;53;1;2;0;0;2734;2835;2852;3055;2800;2969;0,945158909343522;0,946597982000735;0,944589417578147;0,946293422928937;0,946938973102175;0,94570481438198;0,944703588934829;0,94746383981858;0,947483056313009;0,945468849310341;0,946424488337672;0,945529228805473;0,945011107415092;0,947057898901346;0,946104711226663;0,946052353191309;0,946738923507645;0,945759564993564
2;1;61;51;28;42;58;21;1;2;0;0;62;54;49;46;67;31;0,913899500440788;0,935483870967742;0,912513842746401;0,869318181818182;0,951832907075874;0,891534391534392;0,960867265996827;0,946890286512928;0,954081632653061;0,958454106280193;0,955676164631388;0,952688172043011;0,941954022988506;0,952402004126142;0,945771619684663;0,947744238883479;0,954684095860566;0,945645821157218
2;2;61;51;28;42;58;21;1;2;0;0;85;75;62;72;81;36;0,934371807967314;0,943307757885763;0,927204374572796;0,934177215189874;0,950505050505051;0,933333333333333;0,946778711484594;0,954594594594595;0,953992596509783;0,955007824726135;0,952469135802469;0,946031746031746;0,947378911700219;0,954545454545455;0,942341778750912;0,94719414430115;0,950153468385513;0,944561403508772
2;3;61;51;28;42;58;21;1;2;0;0;110;92;95;89;105;46;0,940381928272007;0,934792734047508;0,940078289671786;0,935561577838001;0,93869119019059;0,876893939393939;0,943619683069224;0,951027233635929;0,93952967525196;0,941777323799796;0,948168498168498;0,954589371980676;0,947829916720051;0,949325124319204;0,946520287621982;0,946955624355005;0,943851920550274;0,946121389159364
2;4;61;51;28;42;58;21;1;2;0;0;142;106;128;103;142;60;0,940462315462316;0,933828076685219;0,931663685152057;0,932258501558054;0,942451874366768;0,910014513788099;0,944461092797922;0,94681042228212;0,944635826771653;0,946697125452123;0,947957247028269;0,949152542372881;0,945798061587535;0,944045911047346;0,942448647181251;0,945714285714286;0,946770919479738;0,936156763590392
2;5;61;51;28;42;58;21;1;2;0;0;195;149;162;140;163;94;0,933011327698235;0,933121260319624;0,94025974025974;0,946690518783542;0,935188757233398;0,93972693972694;0,950039651070579;0,941864683475422;0,945019553715206;0,950154162384378;0,940771036885556;0,950354609929078;0,944002418545849;0,939339599307445;0,943956395000599;0,949469916012667;0,941886333445367;0,948184414524684
2;6;61;51;28;42;58;21;1;2;0;0;238;209;223;184;247;139;0,94707498383969;0,930099502487562;0,949435589565806;0,947432072885592;0,936533869548825;0,944579533941236;0,944793107116264;0,950312845049687;0,945218761362259;0,946127346162984;0,944307297323985;0,942028985507246;0,946310579026131;0,944123084262627;0,948237476808905;0,948929018538526;0,943338409709724;0,947542242703533
2;7;61;51;28;42;58;21;1;2;0;0;323;251;257;254;314;173;0,93475935828877;0,94717579997409;0,938333981085633;0,933402346445825;0,941373909151935;0,938421944636244;0,945195469492145;0,942087649402391;0,952577821011673;0,950390588528213;0,948942837956085;0,946162118564323;0,943007323411292;0,945314629258517;0,946996438774312;0,945669714900484;0,946622537798708;0,94290663040663
2;8;61;51;28;42;58;21;1;2;0;0;402;318;347;307;413;257;0,941748465317713;0,941708713887292;0,95066765578635;0,948013926254154;0,944483711366703;0,945460215975985;0,951290926911577;0,948753050413666;0,950259032833036;0,951629728981712;0,947883119020193;0,950753891050584;0,947110126475785;0,9464;0,951092959338317;0,950413072502996;0,947427828284687;0,949215474907175
2;9;61;51;28;42;58;21;1;2;0;0;509;438;492;415;535;375;0,948767022451233;0,941737781963829;0,948834110592938;0,948778270257984;0,944932316360888;0,946546546546546;0,948006744736476;0,95180924317942;0,948934479161492;0,946091612828124;0,947257516888936;0,944156862745098;0,950473281351166;0,947966435738175;0,949122277389891;0,948749982050288;0,946375644190377;0,94586129753915
2;10;61;51;28;42;58;21;1;2;0;0;661;581;645;578;668;491;0,942322184470827;0,948540987808003;0,945402862677031;0,945679748302699;0,944542141659596;0,942557878548568;0,947370833906386;0,94608582111698;0,948129423660263;0,946027957518006;0,948181597823843;0,946938775510204;0,946032471733435;0,948064051130274;0,947623086852296;0,945708810813872;0,946617669582429;0,945695298242992
2;11;61;51;28;42;58;21;1;2;0;0;863;795;850;801;861;650;0,948434489402697;0,945659541999731;0,94653721797938;0,947110970952031;0,947289010241321;0,947717153422383;0,945936717811121;0,946038686374222;0,946622323841197;0,94585518102372;0,949223455689706;0,94776342301766;0,947529970619143;0,946697288754269;0,946819370116167;0,946480196409614;0,948088309961536;0,948913202576112
2;12;61;51;28;42;58;21;1;2;0;0;1155;1034;1100;1046;1072;865;0,946242319251301;0,941053817976895;0,944748118624783;0,944046658807471;0,947889568484882;0,948072015479963;0,947877887565929;0,945953739366851;0,947931177103152;0,945234980376371;0,945287567763424;0,943325840291158;0,947119511380803;0,944073328452904;0,946609592647036;0,944902879673675;0,947033628369341;0,946823661455179
2;13;61;51;28;42;58;21;1;2;0;0;1529;1337;1369;1359;1450;1190;0,945761215048075;0,944863296129767;0,946547098323304;0,944199557514651;0,941501854965703;0,940246505087269;0,945545800389674;0,945792035972931;0,944703950038232;0,946915831943483;0,945085552461864;0,944529334021245;0,946055250919835;0,945477667732861;0,946069379242585;0,945500978222521;0,943949164070045;0,942984198206345
2;14;61;51;28;42;58;21;1;2;0;0;1996;1744;1776;1776;1880;1636;0,945971774335345;0,945558564950227;0,943921748254702;0,946429825684249;0,944775267150665;0,941791413099656;0,944250405573051;0,944831093706412;0,947511102651948;0,945405405405405;0,94690759004903;0,946062223817321;0,945406664381267;0,945421401817787;0,94625795162715;0,946043540815624;0,946025633701695;0,944574356850424
2;15;61;51;28;42;58;21;1;2;0;0;2644;2378;2383;2340;2473;2267;0,943185350395608;0,944946710283815;0,946855267437798;0,943252451056402;0,946556075272016;0,94551022382629;0,945861617162453;0,9479975784192;0,944151002430102;0,945090494513325;0,945192218353035;0,945121512035572;0,944467280902525;0,946702860324322;0,945581970508549;0,944589341672069;0,945924608492536;0,94578816371234
3;1;38;35;35;59;23;32;1;2;0;0;61;47;51;67;36;42;0,928571428571428;0,928017718715393;0,940493468795356;0,925925925925926;0,861471861471861;0,92156862745098;0,962841530054645;0,937095282146161;0,949019607843137;0,956580732700136;0,942857142857143;0,953542392566783;0,952516129032258;0,950312109862672;0,954256908140403;0,944585525122438;0,938898971566848;0,943157894736842
3;2;38;35;35;59;23;32;1;2;0;0;70;62;63;68;47;44;0,935949648278415;0,921468926553672;0,895822316234796;0,931199235547062;0,928112215078901;0,925252525252525;0,954451345755694;0,945002644103649;0,954429083461342;0,953906935908692;0,960222016651249;0,952431289640592;0,948912198912199;0,943774556293185;0,934967741935484;0,942845911949686;0,946630727762803;0,943054136874362
3;3;38;35;35;59;23;32;1;2;0;0;93;70;97;97;79;42;0,938409854423292;0,915688045769347;0,931086997905958;0,950062421972534;0,942881500426257;0,909604519774011;0,952314165497896;0,929192546583851;0,937070446735395;0,945661512027491;0,955533917559234;0,948896631823461;0,951757879167141;0,932903450679679;0,943517587939698;0,951354148697602;0,953943739658025;0,93108134342846
3;4;38;35;35;59;23;32;1;2;0;0;98;102;116;116;96;66;0,939542483660131;0,920070526006465;0,914792299898683;0,926792614856161;0,94767616191904;0,926623376623377;0,944456132968651;0,934575810522229;0,94767616191904;0,943478260869565;0,94671052631579;0,94032634032634;0,941821649976157;0,933548766157462;0,93403453307393;0,937041219649915;0,948448537959403;0,945535835252676
3;5;38;35;35;59;23;32;1;2;0;0;120;128;134;147;121;103;0,933585262163439;0,932190476190476;0,945098039215686;0,929813664596273;0,931253401052059;0,923636363636364;0,946638655462185;0,943159448818898;0,945348445741219;0,940452893486162;0,94366391184573;0,946126023224824;0,941580366009363;0,940493604307367;0,949239052628303;0,940522018697915;0,936389921520033;0,941910939862459
3;6;38;35;35;59;23;32;1;2;0;0;158;153;162;189;171;154;0,91538961038961;0,929307022789184;0,936427732079906;0,920653266331658;0,936747361887027;0,925861670136479;0,939611384342498;0,930856553147575;0,943409247757074;0,931892378700889;0,946680426556588;0,950343773873186;0,930984877092662;0,93737453331082;0,941813396411854;0,93472557178067;0,941017501017501;0,943148079990185
3;7;38;35;35;59;23;32;1;2;0;0;203;179;211;232;230;187;0,931768250580629;0,928790052606408;0,944886114227186;0,909735140402162;0,940371199157562;0,943454646972235;0,934155977174072;0,94620551126734;0,940780862107876;0,938722197342887;0,945889500664515;0,943189005807602;0,936389495815641;0,940682114882506;0,944438595875589;0,93265512703715;0,943292050515527;0,944418276024494
3;8;38;35;35;59;23;32;1;2;0;0;295;261;266;312;279;240;0,928425678857322;0,944826276817923;0,937712245668011;0,933366285364591;0,94223004104884;0,935842946771909;0,946938775510204;0,94314765694076;0,943254362320897;0,940988539863138;0,936515303885924;0,944211994421199;0,940737021297442;0,945342699197805;0,941499112104027;0,939216719932347;0,940994871794872;0,941276115189159
3;9;38;35;35;59;23;32;1;2;0;0;357;353;356;393;372;325;0,94195330846802;0,936412350980084;0,941866394696583;0,931258763047204;0,930912373281489;0,935973409306743;0,937903251188116;0,94564447592068;0,941857888906473;0,94577296567482;0,942048517520216;0,939848053181387;0,941953205149419;0,941845193779644;0,942755048294626;0,940221390252994;0,937384905232739;0,938044328552803
3;10;38;35;35;59;23;32;1;2;0;0;487;474;479;523;533;428;0,932900868282544;0,942037786774629;0,94174302230473;0,942419801955075;0,943375499615518;0,938944214102117;0,943527602437025;0,94190060748789;0,941702116508416;0,939254082327861;0,942071407411587;0,943662588369192;0,939531315678857;0,942400777804785;0,942208351510677;0,941081843998163;0,943071831284035;0,941318373237788
3;11;38;35;35;59;23;32;1;2;0;0;661;610;634;687;716;621;0,939953406523087;0,941176470588235;0,936510783096519;0,937623580263944;0,944316623855524;0,941509779914947;0,939499381103012;0,940994374007376;0,941857162079328;0,943562453053586;0,940551627143806;0,941390057659342;0,939886751991164;0,941958258500031;0,93956281056838;0,941646783176747;0,942900463194375;0,942478800226278
3;12;38;35;35;59;23;32;1;2;0;0;878;853;869;898;961;828;0,936436718567497;0,936964980544747;0,93769781318195;0,941399801529391;0,938638404738271;0,942789418792074;0,940787474383316;0,943557397530946;0,941166020586192;0,939749672876428;0,941499739854318;0,941882948086618;0,938780041001094;0,941103715372311;0,939722336000841;0,941176824397802;0,940600977231333;0,94270629406712
3;13;38;35;35;59;23;32;1;2;0;0;1114;1113;1154;1153;1220;1050;0,938425925925926;0,943756736342728;0,942275538668512;0,93981057261964;0,941394559968602;0,941228842018671;0,939032907970274;0,939496919984228;0,938260674812598;0,940023609906524;0,941824123508923;0,941335512279268;0,939078644521309;0,941711035001847;0,940564958493444;0,94016416735296;0,941793986424943;0,941484751794755
3;14;38;35;35;59;23;32;1;2;0;0;1525;1524;1485;1545;1580;1397;0,937814513701753;0,938497119236704;0,939463702502981;0,937705383199674;0,938087166032579;0,941386157062088;0,94114969235403;0,939944473454279;0,939485601749753;0,941835605412747;0,938596772512646;0,940812588580113;0,93999275341516;0,939525992182205;0,93985647629749;0,939812739247132;0,939042899790453;0,941314683360989
3;15;38;35;35;59;23;32;1;2;0;0;2012;2040;1977;2028;2065;1798;0,941196182705617;0,941961939357305;0,940105252254232;0,941682715342783;0,936340167939605;0,940376019016117;0,942106189318589;0,939281558626393;0,939667512425279;0,940711635523977;0,939642340972652;0,94010410379925;0,941775159567767;0,94077252285672;0,940274282497778;0,941111633414456;0,938404856404577;0,940482426518633
