"run";"gen";"mr";"ad";"divM1_10";"divM2_10";"divM3_10";"divM4_10";"divM5_10";"divM6_10";"divM10_mean";"divF1_10";"divF2_10";"divF3_10";"divF4_10";"divF5_10";"divF6_10";"divF10_mean";"divT1_10";"divT2_10";"divT3_10";"divT4_10";"divT5_10";"divT6_10";"divT10_mean";"divM1_20";"divM2_20";"divM3_20";"divM4_20";"divM5_20";"divM6_20";"divm20_mean";"divF1_20";"divF2_20";"divF3_20";"divF4_20";"divF5_20";"divF6_20";"divF20_mean";"divT1_20";"divT2_20";"divT3_20";"divT4_20";"divT5_20";"divT6_20";"divT20_mean";"divM1_30";"divM2_30";"divM3_30";"divM4_30";"divM5_30";"divM6_30";"divM30_mean";"divF1_30";"divF2_30";"divF3_30";"divF4_30";"divF5_30";"divF6_30";"divF30_mean";"divT1_30";"divT2_30";"divT3_30";"divT4_30";"divT5_30";"divT6_30";"divT30_mean";"divM1_50";"divM2_50";"divM3_50";"divM4_50";"divM5_50";"divM6_50";"divM50_mean";"divF1_50";"divF2_50";"divF3_50";"divF4_50";"divF5_50";"divF6_50";"divF50_mean";"divT1_50";"divT2_50";"divT3_50";"divT4_50";"divT5_50";"divT6_50";"divT50_mean"
1;15;0;0;1;1;1;1;0,9;0,9;0,966666666666667;1;1;1;1;1;1;1;0,977777777777778;0,955555555555556;0,955555555555556;0,911111111111111;0,955555555555556;1;0,959259259259259;0,955555555555556;0,955555555555556;0,955555555555556;0,955555555555556;0,911111111111111;0,955555555555556;0,948148148148148;0,955555555555556;0,955555555555556;0,955555555555556;0,955555555555556;0,955555555555556;0,955555555555556;0,955555555555556;0,942105263157895;0,931578947368421;0,931578947368421;0,957894736842105;0,952631578947368;0,905263157894737;0,936842105263158;0,971428571428571;0,933333333333333;0,952380952380952;0,942857142857143;0,980952380952381;0,952380952380952;0,955555555555555;0,971428571428571;0,971428571428571;0,942857142857143;0,942857142857143;0,942857142857143;0,961904761904762;0,955555555555555;0,947126436781609;0,919540229885057;0,954022988505747;0,944827586206897;0,954022988505747;0,967816091954023;0,947892720306514;0,943333333333333;0,943333333333333;0,956666666666667;0,95;0,94;0,943333333333333;0,946111111111111;0,94;0,94;0,96;0,946666666666667;0,953333333333333;0,95;0,948333333333333;0,942040816326531;0,954285714285714;0,946938775510204;0,949387755102041;0,931428571428571;0,942040816326531;0,944353741496599
2;15;0;0;1;0,9;1;1;0,9;1;0,966666666666667;1;1;1;1;1;1;1;0,955555555555556;0,977777777777778;0,955555555555556;0,933333333333333;1;0,977777777777778;0,966666666666667;0,866666666666667;0,955555555555556;0,977777777777778;0,977777777777778;0,911111111111111;0,911111111111111;0,933333333333333;0,911111111111111;0,955555555555556;0,977777777777778;0,911111111111111;0,955555555555556;0,933333333333333;0,940740740740741;0,968421052631579;0,963157894736842;0,957894736842105;0,931578947368421;0,957894736842105;0,942105263157895;0,953508771929825;0,952380952380952;0,923809523809524;0,971428571428571;0,914285714285714;0,923809523809524;0,942857142857143;0,938095238095238;0,914285714285714;0,914285714285714;0,942857142857143;0,961904761904762;0,952380952380952;0,895238095238095;0,93015873015873;0,963218390804598;0,924137931034483;0,937931034482759;0,951724137931035;0,949425287356322;0,92183908045977;0,941379310344828;0,94;0,953333333333333;0,943333333333333;0,916666666666667;0,94;0,93;0,937222222222222;0,94;0,94;0,96;0,96;0,946666666666667;0,956666666666667;0,950555555555556;0,953469387755102;0,942040816326531;0,94530612244898;0,934693877551021;0,928979591836735;0,955918367346939;0,943401360544218
3;15;0;0;0,9;0,9;0,8;0,9;1;1;0,916666666666667;1;0,9;1;1;1;0,9;0,966666666666667;0,933333333333333;0,977777777777778;1;0,977777777777778;0,911111111111111;0,955555555555556;0,959259259259259;0,955555555555556;0,977777777777778;0,977777777777778;0,866666666666667;0,933333333333333;0,911111111111111;0,937037037037037;0,911111111111111;0,977777777777778;0,911111111111111;0,955555555555556;0,977777777777778;0,933333333333333;0,944444444444444;0,921052631578947;0,9;0,936842105263158;0,968421052631579;0,942105263157895;0,947368421052632;0,935964912280702;0,952380952380952;0,971428571428571;0,971428571428571;0,923809523809524;0,961904761904762;0,952380952380952;0,955555555555555;0,952380952380952;0,971428571428571;0,971428571428571;0,952380952380952;0,952380952380952;0,904761904761905;0,950793650793651;0,92183908045977;0,942528735632184;0,949425287356322;0,942528735632184;0,970114942528736;0,919540229885057;0,940996168582376;0,956666666666667;0,94;0,946666666666667;0,95;0,906666666666667;0,963333333333333;0,943888888888889;0,953333333333333;0,95;0,946666666666667;0,96;0,93;0,933333333333333;0,945555555555556;0,955918367346939;0,938775510204082;0,938775510204082;0,940408163265306;0,937142857142857;0,953469387755102;0,944081632653061
4;15;0;0;1;1;1;1;1;0,9;0,983333333333333;0,9;0,9;1;1;1;0,9;0,95;0,933333333333333;0,955555555555556;0,888888888888889;0,933333333333333;0,933333333333333;0,911111111111111;0,925925925925926;1;0,777777777777778;0,888888888888889;0,888888888888889;0,977777777777778;0,933333333333333;0,911111111111111;0,911111111111111;0,955555555555556;1;0,933333333333333;0,933333333333333;0,933333333333333;0,944444444444444;0,957894736842105;0,952631578947368;0,947368421052632;0,963157894736842;0,9;0,926315789473684;0,941228070175439;0,914285714285714;0,952380952380952;0,971428571428571;0,961904761904762;0,961904761904762;0,885714285714286;0,941269841269841;0,885714285714286;0,933333333333333;0,904761904761905;0,942857142857143;0,961904761904762;0,866666666666667;0,915873015873016;0,928735632183908;0,919540229885057;0,928735632183908;0,949425287356322;0,95632183908046;0,894252873563218;0,929501915708812;0,946666666666667;0,906666666666667;0,91;0,953333333333333;0,956666666666667;0,933333333333333;0,934444444444445;0,926666666666667;0,936666666666667;0,943333333333333;0,94;0,93;0,91;0,931111111111111;0,943673469387755;0,920816326530612;0,924081632653061;0,942857142857143;0,909387755102041;0,941224489795918;0,930340136054422
5;15;0;0;0,9;1;1;1;0,9;0,9;0,95;0,9;0,9;1;0,9;0,9;1;0,933333333333333;0,955555555555556;0,977777777777778;0,955555555555556;0,955555555555556;0,955555555555556;0,977777777777778;0,962962962962963;1;0,933333333333333;0,955555555555556;0,911111111111111;0,955555555555556;0,911111111111111;0,944444444444444;0,955555555555556;0,844444444444444;0,933333333333333;0,933333333333333;0,844444444444444;0,933333333333333;0,907407407407407;0,889473684210526;0,952631578947368;0,921052631578947;0,931578947368421;0,926315789473684;0,947368421052632;0,928070175438596;0,952380952380952;0,961904761904762;0,971428571428571;0,923809523809524;0,942857142857143;0,971428571428571;0,953968253968254;0,933333333333333;0,942857142857143;0,933333333333333;0,971428571428571;0,923809523809524;0,961904761904762;0,944444444444444;0,949425287356322;0,954022988505747;0,960919540229885;0,944827586206897;0,960919540229885;0,960919540229885;0,955172413793104;0,94;0,88;0,953333333333333;0,923333333333333;0,943333333333333;0,94;0,93;0,94;0,933333333333333;0,933333333333333;0,95;0,926666666666667;0,943333333333333;0,937777777777778;0,928979591836735;0,92;0,920816326530612;0,933877551020408;0,942857142857143;0,928163265306122;0,929115646258503
6;15;0;0;0,9;0,9;0,9;1;0,9;0,9;0,916666666666667;1;0,9;1;0,9;1;0,9;0,95;0,888888888888889;0,933333333333333;0,911111111111111;0,955555555555556;0,955555555555556;0,955555555555556;0,933333333333333;0,955555555555556;0,977777777777778;0,911111111111111;0,955555555555556;0,933333333333333;0,911111111111111;0,940740740740741;0,977777777777778;0,933333333333333;0,911111111111111;0,955555555555556;0,933333333333333;0,933333333333333;0,940740740740741;0,926315789473684;0,921052631578947;0,942105263157895;0,963157894736842;0,952631578947368;0,947368421052632;0,942105263157895;0,866666666666667;0,942857142857143;0,933333333333333;0,952380952380952;0,971428571428571;0,971428571428571;0,93968253968254;0,933333333333333;0,961904761904762;0,942857142857143;0,876190476190476;0,952380952380952;0,933333333333333;0,933333333333333;0,942528735632184;0,944827586206897;0,963218390804598;0,95632183908046;0,928735632183908;0,963218390804598;0,949808429118774;0,98;0,923333333333333;0,943333333333333;0,953333333333333;0,95;0,92;0,945;0,94;0,956666666666667;0,936666666666667;0,953333333333333;0,926666666666667;0,936666666666667;0,941666666666667;0,932244897959184;0,941224489795918;0,950204081632653;0,955918367346939;0,919183673469388;0,943673469387755;0,940408163265306
7;15;0;0;0,9;0,9;1;0,9;0,9;0,9;0,916666666666667;0,9;0,9;0,9;0,9;0,9;1;0,916666666666667;0,933333333333333;0,955555555555556;0,955555555555556;0,955555555555556;0,866666666666667;0,933333333333333;0,933333333333333;0,866666666666667;0,933333333333333;0,933333333333333;0,933333333333333;0,888888888888889;0,911111111111111;0,911111111111111;0,955555555555556;0,933333333333333;0,977777777777778;0,933333333333333;0,955555555555556;0,888888888888889;0,940740740740741;0,957894736842105;0,894736842105263;0,952631578947368;0,921052631578947;0,963157894736842;0,91578947368421;0,934210526315789;0,914285714285714;0,961904761904762;0,971428571428571;0,876190476190476;0,933333333333333;0,923809523809524;0,93015873015873;0,952380952380952;0,923809523809524;0,942857142857143;0,971428571428571;0,933333333333333;0,952380952380952;0,946031746031746;0,963218390804598;0,919540229885057;0,949425287356322;0,933333333333333;0,958620689655172;0,940229885057471;0,944061302681992;0,956666666666667;0,953333333333333;0,95;0,956666666666667;0,943333333333333;0,95;0,951666666666667;0,946666666666667;0,933333333333333;0,946666666666667;0,93;0,96;0,926666666666667;0,940555555555556;0,943673469387755;0,95265306122449;0,932244897959184;0,944489795918367;0,931428571428571;0,951836734693878;0,942721088435374
8;15;0;0;1;0,9;1;0,9;1;1;0,966666666666667;1;1;1;0,7;1;1;0,95;0,955555555555556;0,933333333333333;0,955555555555556;0,888888888888889;0,955555555555556;0,933333333333333;0,937037037037037;0,911111111111111;0,977777777777778;0,955555555555556;0,911111111111111;0,955555555555556;0,911111111111111;0,937037037037037;0,955555555555556;0,955555555555556;0,955555555555556;0,977777777777778;0,955555555555556;0,955555555555556;0,959259259259259;0,926315789473684;0,931578947368421;0,894736842105263;0,963157894736842;0,957894736842105;0,947368421052632;0,936842105263158;0,971428571428571;0,961904761904762;0,952380952380952;0,923809523809524;0,971428571428571;0,942857142857143;0,953968253968254;0,961904761904762;0,980952380952381;0,838095238095238;0,961904761904762;0,942857142857143;0,980952380952381;0,944444444444444;0,947126436781609;0,944827586206897;0,95632183908046;0,942528735632184;0,942528735632184;0,958620689655172;0,948659003831418;0,94;0,966666666666667;0,933333333333333;0,96;0,953333333333333;0,933333333333333;0,947777777777778;0,95;0,96;0,926666666666667;0,946666666666667;0,916666666666667;0,943333333333333;0,940555555555556;0,957551020408163;0,950204081632653;0,944489795918367;0,959183673469388;0,948571428571429;0,949387755102041;0,95156462585034
9;15;0;0;0,9;0,9;0,9;0,9;1;1;0,933333333333333;1;0,9;0,9;0,9;0,9;0,9;0,916666666666667;0,933333333333333;0,911111111111111;0,955555555555556;0,933333333333333;0,955555555555556;0,955555555555556;0,940740740740741;0,977777777777778;0,911111111111111;0,977777777777778;0,955555555555556;0,866666666666667;0,955555555555556;0,940740740740741;0,911111111111111;1;1;0,955555555555556;0,933333333333333;0,911111111111111;0,951851851851852;0,963157894736842;0,936842105263158;0,936842105263158;0,957894736842105;0,952631578947368;0,942105263157895;0,948245614035088;0,961904761904762;0,876190476190476;0,885714285714286;0,99047619047619;0,942857142857143;0,961904761904762;0,936507936507937;0,933333333333333;0,885714285714286;0,942857142857143;0,942857142857143;0,904761904761905;0,942857142857143;0,925396825396825;0,933333333333333;0,954022988505747;0,928735632183908;0,942528735632184;0,901149425287356;0,928735632183908;0,931417624521073;0,966666666666667;0,933333333333333;0,933333333333333;0,95;0,953333333333333;0,963333333333333;0,95;0,956666666666667;0,966666666666667;0,936666666666667;0,953333333333333;0,966666666666667;0,936666666666667;0,952777777777778;0,944489795918367;0,933061224489796;0,947755102040816;0,947755102040816;0,943673469387755;0,948571428571429;0,94421768707483
10;15;0;0;1;1;0,9;0,9;0,9;1;0,95;1;0,9;1;1;1;1;0,983333333333333;0,888888888888889;0,933333333333333;0,933333333333333;0,977777777777778;0,977777777777778;0,955555555555556;0,944444444444445;0,911111111111111;0,955555555555556;0,977777777777778;0,911111111111111;0,977777777777778;0,911111111111111;0,940740740740741;0,977777777777778;0,955555555555556;0,955555555555556;0,933333333333333;0,933333333333333;0,955555555555556;0,951851851851852;0,952631578947368;0,942105263157895;0,957894736842105;0,957894736842105;0,952631578947368;0,931578947368421;0,949122807017544;0,904761904761905;0,971428571428571;0,923809523809524;0,933333333333333;0,961904761904762;0,933333333333333;0,938095238095238;0,942857142857143;0,961904761904762;0,961904761904762;0,971428571428571;0,923809523809524;0,923809523809524;0,947619047619048;0,935632183908046;0,937931034482759;0,960919540229885;0,935632183908046;0,954022988505747;0,960919540229885;0,947509578544061;0,926666666666667;0,946666666666667;0,936666666666667;0,96;0,933333333333333;0,903333333333333;0,934444444444445;0,92;0,943333333333333;0,933333333333333;0,95;0,966666666666667;0,913333333333333;0,937777777777778;0,931428571428571;0,933061224489796;0,940408163265306;0,934693877551021;0,920816326530612;0,92734693877551;0,931292517006803
