"run";"gen";"mr";"ad";"divM1_10";"divM2_10";"divM3_10";"divM4_10";"divM5_10";"divM6_10";"divM10_mean";"divF1_10";"divF2_10";"divF3_10";"divF4_10";"divF5_10";"divF6_10";"divF10_mean";"divT1_10";"divT2_10";"divT3_10";"divT4_10";"divT5_10";"divT6_10";"divT10_mean";"divM1_20";"divM2_20";"divM3_20";"divM4_20";"divM5_20";"divM6_20";"divm20_mean";"divF1_20";"divF2_20";"divF3_20";"divF4_20";"divF5_20";"divF6_20";"divF20_mean";"divT1_20";"divT2_20";"divT3_20";"divT4_20";"divT5_20";"divT6_20";"divT20_mean";"divM1_30";"divM2_30";"divM3_30";"divM4_30";"divM5_30";"divM6_30";"divM30_mean";"divF1_30";"divF2_30";"divF3_30";"divF4_30";"divF5_30";"divF6_30";"divF30_mean";"divT1_30";"divT2_30";"divT3_30";"divT4_30";"divT5_30";"divT6_30";"divT30_mean";"divM1_50";"divM2_50";"divM3_50";"divM4_50";"divM5_50";"divM6_50";"divM50_mean";"divF1_50";"divF2_50";"divF3_50";"divF4_50";"divF5_50";"divF6_50";"divF50_mean";"divT1_50";"divT2_50";"divT3_50";"divT4_50";"divT5_50";"divT6_50";"divT50_mean"
1;15;0;0;0,6;1;1;0,9;0,9;0,9;0,883333333333333;0,9;0,8;0,9;1;0,8;0,8;0,866666666666666;0,933333333333333;0,933333333333333;0,866666666666667;0,911111111111111;0,911111111111111;0,911111111111111;0,911111111111111;0,911111111111111;0,844444444444444;1;0,911111111111111;0,955555555555556;0,955555555555556;0,92962962962963;0,888888888888889;0,755555555555556;0,822222222222222;0,911111111111111;0,933333333333333;0,822222222222222;0,855555555555556;0,894736842105263;0,894736842105263;0,936842105263158;0,936842105263158;0,905263157894737;0,9;0,91140350877193;0,904761904761905;0,952380952380952;0,895238095238095;0,942857142857143;0,942857142857143;0,914285714285714;0,925396825396825;0,704761904761905;0,847619047619048;0,904761904761905;0,895238095238095;0,866666666666667;0,876190476190476;0,849206349206349;0,940229885057471;0,933333333333333;0,937931034482759;0,947126436781609;0,944827586206897;0,95632183908046;0,943295019157088;0,963333333333333;0,916666666666667;0,95;0,95;0,953333333333333;0,936666666666667;0,945;0,856666666666667;0,816666666666667;0,8;0,863333333333333;0,873333333333333;0,816666666666667;0,837777777777778;0,947755102040816;0,908571428571429;0,951020408163265;0,926530612244898;0,935510204081633;0,907755102040816;0,92952380952381
2;15;0;0;0,9;0,9;1;1;0,4;1;0,866666666666667;0,8;0,9;0,9;0,7;0,8;0,9;0,833333333333333;0,866666666666667;0,955555555555556;0,977777777777778;0,844444444444444;0,755555555555556;0,911111111111111;0,885185185185185;0,933333333333333;0,755555555555556;0,888888888888889;0,866666666666667;0,822222222222222;0,911111111111111;0,862962962962963;0,6;0,355555555555555;0,733333333333333;0,711111111111111;0,755555555555556;0,866666666666667;0,67037037037037;0,921052631578947;0,9;0,894736842105263;0,942105263157895;0,842105263157895;0,921052631578947;0,903508771929824;0,885714285714286;0,933333333333333;0,952380952380952;0,952380952380952;0,961904761904762;0,942857142857143;0,938095238095238;0,742857142857143;0,638095238095238;0,780952380952381;0,838095238095238;0,695238095238095;0,819047619047619;0,752380952380952;0,903448275862069;0,887356321839081;0,914942528735632;0,908045977011494;0,816091954022989;0,91264367816092;0,890421455938697;0,94;0,843333333333333;0,92;0,926666666666667;0,933333333333333;0,926666666666667;0,915;0,79;0,53;0,763333333333333;0,803333333333333;0,54;0,89;0,719444444444444;0,910204081632653;0,916734693877551;0,904489795918367;0,935510204081633;0,783673469387755;0,906938775510204;0,892925170068027
3;15;0;0;1;0,9;1;0,6;0,9;0,9;0,883333333333333;0,9;0,7;0,4;0,9;0,6;0,9;0,733333333333333;0,955555555555556;0,911111111111111;0,622222222222222;1;0,933333333333333;0,955555555555556;0,896296296296296;0,8;0,933333333333333;0,977777777777778;0,933333333333333;0,888888888888889;0,911111111111111;0,907407407407407;0,888888888888889;0,622222222222222;0,2;0,933333333333333;0,822222222222222;0,888888888888889;0,725925925925926;0,968421052631579;0,942105263157895;0,894736842105263;0,894736842105263;0,921052631578947;0,947368421052632;0,928070175438596;0,914285714285714;0,933333333333333;0,933333333333333;0,923809523809524;0,895238095238095;0,923809523809524;0,920634920634921;0,771428571428571;0,476190476190476;0,133333333333333;0,914285714285714;0,638095238095238;0,819047619047619;0,625396825396825;0,951724137931035;0,811494252873563;0,864367816091954;0,942528735632184;0,940229885057471;0,942528735632184;0,908812260536399;0,903333333333333;0,926666666666667;0,94;0,933333333333333;0,926666666666667;0,88;0,918333333333333;0,813333333333333;0,556666666666667;0,293333333333333;0,863333333333333;0,696666666666667;0,803333333333333;0,671111111111111;0,924897959183673;0,86530612244898;0,772244897959184;0,937959183673469;0,924897959183673;0,946122448979592;0,895238095238095
4;15;0;0;1;1;0,8;1;0,9;1;0,95;0,9;0,9;0,7;0,7;1;0,9;0,85;0,933333333333333;1;0,933333333333333;0,888888888888889;0,888888888888889;0,955555555555556;0,933333333333333;0,977777777777778;0,933333333333333;0,977777777777778;0,955555555555556;0,911111111111111;0,888888888888889;0,940740740740741;0,777777777777778;0,844444444444444;0,733333333333333;0,844444444444444;0,911111111111111;0,888888888888889;0,833333333333333;0,894736842105263;0,947368421052632;0,857894736842105;0,894736842105263;0,936842105263158;0,957894736842105;0,914912280701754;0,904761904761905;0,885714285714286;0,933333333333333;0,914285714285714;0,933333333333333;0,952380952380952;0,920634920634921;0,79047619047619;0,876190476190476;0,685714285714286;0,838095238095238;0,923809523809524;0,895238095238095;0,834920634920635;0,919540229885057;0,940229885057471;0,825287356321839;0,949425287356322;0,935632183908046;0,954022988505747;0,920689655172414;0,916666666666667;0,94;0,943333333333333;0,943333333333333;0,936666666666667;0,906666666666667;0,931111111111111;0,82;0,853333333333333;0,666666666666667;0,763333333333333;0,866666666666667;0,806666666666667;0,796111111111111;0,922448979591837;0,915918367346939;0,903673469387755;0,895510204081633;0,924897959183673;0,913469387755102;0,91265306122449
5;15;0;0;0,9;0,9;1;1;1;0,9;0,95;0,8;0,9;0,7;0,6;1;0,4;0,733333333333333;0,977777777777778;0,955555555555556;0,977777777777778;0,977777777777778;0,888888888888889;0,977777777777778;0,959259259259259;0,933333333333333;0,911111111111111;0,933333333333333;0,977777777777778;0,977777777777778;0,888888888888889;0,937037037037037;0,777777777777778;0,711111111111111;0,844444444444444;0,844444444444444;0,911111111111111;0,8;0,814814814814815;0,894736842105263;0,821052631578947;0,931578947368421;0,921052631578947;0,921052631578947;0,894736842105263;0,897368421052632;0,942857142857143;0,885714285714286;0,942857142857143;0,885714285714286;0,828571428571429;0,895238095238095;0,896825396825397;0,752380952380952;0,666666666666667;0,876190476190476;0,876190476190476;0,904761904761905;0,733333333333333;0,801587301587302;0,917241379310345;0,908045977011494;0,937931034482759;0,931034482758621;0,954022988505747;0,866666666666667;0,919157088122605;0,913333333333333;0,956666666666667;0,943333333333333;0,96;0,94;0,95;0,943888888888889;0,716666666666667;0,743333333333333;0,89;0,88;0,873333333333333;0,696666666666667;0,8;0,930612244897959;0,892244897959184;0,932244897959184;0,888163265306123;0,936326530612245;0,880816326530612;0,910068027210884
6;15;0;0;1;1;1;1;0,9;1;0,983333333333333;0,7;0,8;0,7;1;0,8;0,9;0,816666666666667;1;0,911111111111111;0,866666666666667;0,955555555555556;0,888888888888889;0,955555555555556;0,92962962962963;0,866666666666667;0,977777777777778;0,888888888888889;0,977777777777778;0,933333333333333;0,933333333333333;0,92962962962963;0,844444444444444;0,555555555555556;0,866666666666667;0,844444444444444;0,8;0,933333333333333;0,807407407407407;0,968421052631579;0,889473684210526;0,931578947368421;0,857894736842105;0,952631578947368;0,905263157894737;0,917543859649123;0,923809523809524;0,942857142857143;0,952380952380952;0,961904761904762;0,904761904761905;0,952380952380952;0,93968253968254;0,847619047619048;0,628571428571429;0,742857142857143;0,876190476190476;0,828571428571429;0,942857142857143;0,811111111111111;0,951724137931035;0,917241379310345;0,882758620689655;0,92183908045977;0,940229885057471;0,917241379310345;0,92183908045977;0,95;0,933333333333333;0,926666666666667;0,96;0,926666666666667;0,94;0,939444444444445;0,886666666666667;0,68;0,776666666666667;0,896666666666667;0,736666666666667;0,906666666666667;0,813888888888889;0,916734693877551;0,886530612244898;0,896326530612245;0,928979591836735;0,923265306122449;0,933061224489796;0,914149659863946
7;15;0;0;0,9;1;1;0,9;1;0,9;0,95;0,9;0,9;0,9;0,9;0,7;0,8;0,85;0,933333333333333;0,933333333333333;0,933333333333333;0,977777777777778;0,933333333333333;0,977777777777778;0,948148148148148;0,955555555555556;0,977777777777778;0,955555555555556;0,955555555555556;0,977777777777778;0,955555555555556;0,962962962962963;0,955555555555556;0,888888888888889;0,844444444444444;0,866666666666667;0,711111111111111;0,933333333333333;0,866666666666667;0,931578947368421;0,963157894736842;0,947368421052632;0,957894736842105;0,921052631578947;0,968421052631579;0,948245614035088;0,961904761904762;0,895238095238095;0,923809523809524;0,923809523809524;0,942857142857143;0,933333333333333;0,93015873015873;0,961904761904762;0,914285714285714;0,866666666666667;0,838095238095238;0,647619047619048;0,838095238095238;0,844444444444444;0,931034482758621;0,951724137931035;0,924137931034483;0,947126436781609;0,905747126436782;0,928735632183908;0,931417624521073;0,94;0,956666666666667;0,96;0,956666666666667;0,953333333333333;0,92;0,947777777777778;0,936666666666667;0,9;0,93;0,846666666666667;0,8;0,853333333333333;0,877777777777778;0,946122448979592;0,934693877551021;0,922448979591837;0,950204081632653;0,906938775510204;0,937142857142857;0,932925170068027
8;15;0;0;1;1;0,7;1;0,9;1;0,933333333333333;0,8;0,8;0,9;0,8;1;0,7;0,833333333333333;0,933333333333333;0,844444444444444;0,911111111111111;0,955555555555556;0,777777777777778;0,911111111111111;0,888888888888889;0,888888888888889;0,933333333333333;0,933333333333333;0,911111111111111;0,866666666666667;0,955555555555556;0,914814814814815;0,8;0,6;0,777777777777778;0,888888888888889;0,911111111111111;0,8;0,796296296296296;0,894736842105263;0,836842105263158;0,931578947368421;0,910526315789474;0,931578947368421;0,91578947368421;0,903508771929824;0,895238095238095;0,971428571428571;0,952380952380952;0,923809523809524;0,933333333333333;0,933333333333333;0,934920634920635;0,8;0,514285714285714;0,895238095238095;0,742857142857143;0,866666666666667;0,895238095238095;0,785714285714286;0,882758620689655;0,850574712643678;0,944827586206897;0,92183908045977;0,903448275862069;0,919540229885057;0,903831417624521;0,923333333333333;0,923333333333333;0,933333333333333;0,886666666666667;0,933333333333333;0,913333333333333;0,918888888888889;0,71;0,51;0,803333333333333;0,866666666666667;0,936666666666667;0,89;0,786111111111111;0,898775510204082;0,878367346938775;0,938775510204082;0,916734693877551;0,913469387755102;0,926530612244898;0,912108843537415
9;15;0;0;0,9;1;1;0,9;1;0,9;0,95;1;0,6;0,8;0,9;0,7;0,9;0,816666666666667;0,933333333333333;0,888888888888889;0,933333333333333;0,911111111111111;0,911111111111111;0,933333333333333;0,918518518518519;0,977777777777778;0,911111111111111;0,955555555555556;0,822222222222222;0,955555555555556;0,955555555555556;0,92962962962963;0,644444444444444;0,644444444444445;0,911111111111111;0,822222222222222;0,844444444444444;0,933333333333333;0,8;0,910526315789474;0,842105263157895;0,868421052631579;0,931578947368421;0,947368421052632;0,957894736842105;0,909649122807017;0,933333333333333;0,942857142857143;0,942857142857143;0,857142857142857;0,923809523809524;0,923809523809524;0,920634920634921;0,866666666666667;0,619047619047619;0,914285714285714;0,847619047619048;0,828571428571429;0,771428571428571;0,807936507936508;0,905747126436782;0,926436781609195;0,924137931034483;0,889655172413793;0,857471264367816;0,91264367816092;0,902681992337165;0,943333333333333;0,923333333333333;0,94;0,95;0,943333333333333;0,906666666666667;0,934444444444445;0,853333333333333;0,69;0,86;0,686666666666667;0,773333333333333;0,89;0,792222222222222;0,915102040816327;0,833469387755102;0,942040816326531;0,915918367346939;0,932244897959184;0,916734693877551;0,909251700680272
10;15;0;0;1;1;1;0,9;1;0,9;0,966666666666667;0;0;1;0,7;0,9;0,9;0,583333333333333;0,866666666666667;0,911111111111111;0,955555555555556;0,933333333333333;0,977777777777778;0,888888888888889;0,922222222222222;0,955555555555556;0,866666666666667;0,977777777777778;0,911111111111111;0,933333333333333;0,755555555555556;0,9;0,711111111111111;0,511111111111111;0,911111111111111;0,8;0,933333333333333;0,933333333333333;0,8;0,894736842105263;0,836842105263158;0,836842105263158;0,910526315789474;0,952631578947368;0,947368421052632;0,896491228070175;0,952380952380952;0,895238095238095;0,952380952380952;0,904761904761905;0,961904761904762;0,952380952380952;0,936507936507937;0,733333333333333;0,514285714285714;0,838095238095238;0,876190476190476;0,885714285714286;0,819047619047619;0,777777777777778;0,898850574712644;0,839080459770115;0,926436781609195;0,910344827586207;0,931034482758621;0,924137931034483;0,904980842911877;0,923333333333333;0,916666666666667;0,826666666666667;0,936666666666667;0,896666666666667;0,943333333333333;0,907222222222222;0,736666666666667;0,54;0,86;0,816666666666667;0,88;0,92;0,792222222222222;0,915918367346939;0,846530612244898;0,888979591836735;0,923265306122449;0,930612244897959;0,932244897959184;0,906258503401361
