"run";"gen";"mr";"ad";"divM1_10";"divM2_10";"divM3_10";"divM4_10";"divM5_10";"divM6_10";"divM10_mean";"divF1_10";"divF2_10";"divF3_10";"divF4_10";"divF5_10";"divF6_10";"divF10_mean";"divT1_10";"divT2_10";"divT3_10";"divT4_10";"divT5_10";"divT6_10";"divT10_mean";"divM1_20";"divM2_20";"divM3_20";"divM4_20";"divM5_20";"divM6_20";"divm20_mean";"divF1_20";"divF2_20";"divF3_20";"divF4_20";"divF5_20";"divF6_20";"divF20_mean";"divT1_20";"divT2_20";"divT3_20";"divT4_20";"divT5_20";"divT6_20";"divT20_mean";"divM1_30";"divM2_30";"divM3_30";"divM4_30";"divM5_30";"divM6_30";"divM30_mean";"divF1_30";"divF2_30";"divF3_30";"divF4_30";"divF5_30";"divF6_30";"divF30_mean";"divT1_30";"divT2_30";"divT3_30";"divT4_30";"divT5_30";"divT6_30";"divT30_mean";"divM1_50";"divM2_50";"divM3_50";"divM4_50";"divM5_50";"divM6_50";"divM50_mean";"divF1_50";"divF2_50";"divF3_50";"divF4_50";"divF5_50";"divF6_50";"divF50_mean";"divT1_50";"divT2_50";"divT3_50";"divT4_50";"divT5_50";"divT6_50";"divT50_mean"
1;15;0;0;1;0,9;0,9;1;0,9;1;0,95;1;1;0,9;1;1;0,8;0,95;0,955555555555556;0,977777777777778;0,955555555555556;0,977777777777778;0,955555555555556;0,955555555555556;0,962962962962963;0,955555555555556;0,911111111111111;0,933333333333333;0,955555555555556;0,888888888888889;1;0,940740740740741;0,911111111111111;0,911111111111111;0,977777777777778;0,955555555555556;0,955555555555556;0,955555555555556;0,944444444444444;0,947368421052632;0,931578947368421;0,921052631578947;0,942105263157895;0,968421052631579;0,947368421052632;0,942982456140351;0,942857142857143;0,971428571428571;0,942857142857143;0,952380952380952;0,961904761904762;0,952380952380952;0,953968253968254;0,952380952380952;0,952380952380952;0,952380952380952;0,933333333333333;0,914285714285714;0,980952380952381;0,947619047619048;0,949425287356322;0,951724137931035;0,917241379310345;0,935632183908046;0,940229885057471;0,942528735632184;0,939463601532567;0,94;0,953333333333333;0,936666666666667;0,92;0,96;0,95;0,943333333333333;0,906666666666667;0,933333333333333;0,943333333333333;0,933333333333333;0,943333333333333;0,943333333333333;0,933888888888889;0,942040816326531;0,956734693877551;0,939591836734694;0,937142857142857;0,958367346938776;0,941224489795918;0,945850340136055
2;15;0;0;0,9;1;0,9;1;1;0,7;0,916666666666667;0,7;1;1;1;1;1;0,95;0,933333333333333;0,888888888888889;0,844444444444444;0,933333333333333;0,933333333333333;0,955555555555556;0,914814814814815;0,977777777777778;1;0,911111111111111;0,911111111111111;0,955555555555556;0,888888888888889;0,940740740740741;0,977777777777778;0,933333333333333;0,911111111111111;0,911111111111111;0,844444444444444;0,955555555555556;0,922222222222222;0,942105263157895;0,905263157894737;0,942105263157895;0,952631578947368;0,936842105263158;0,947368421052632;0,937719298245614;0,952380952380952;0,79047619047619;0,952380952380952;0,895238095238095;0,961904761904762;0,923809523809524;0,912698412698413;0,952380952380952;0,942857142857143;0,942857142857143;0,923809523809524;0,904761904761905;0,914285714285714;0,93015873015873;0,933333333333333;0,937931034482759;0,937931034482759;0,942528735632184;0,896551724137931;0,931034482758621;0,929885057471264;0,966666666666667;0,93;0,933333333333333;0,95;0,923333333333333;0,903333333333333;0,934444444444445;0,906666666666667;0,936666666666667;0,933333333333333;0,94;0,943333333333333;0,873333333333333;0,922222222222222;0,951020408163265;0,926530612244898;0,948571428571429;0,90530612244898;0,946938775510204;0,935510204081633;0,935646258503401
3;15;0;0;1;1;0,9;1;0,9;1;0,966666666666667;1;0,7;0,9;0,7;0,9;1;0,866666666666667;0,955555555555556;0,866666666666667;0,888888888888889;0,888888888888889;0,955555555555556;0,911111111111111;0,911111111111111;0,933333333333333;0,977777777777778;0,777777777777778;0,933333333333333;0,911111111111111;1;0,922222222222222;0,911111111111111;0,955555555555556;0,933333333333333;0,955555555555556;0,955555555555556;0,977777777777778;0,948148148148148;0,905263157894737;0,910526315789474;0,947368421052632;0,931578947368421;0,921052631578947;0,942105263157895;0,926315789473684;0,866666666666667;0,838095238095238;0,923809523809524;0,895238095238095;0,952380952380952;0,952380952380952;0,904761904761905;0,904761904761905;0,847619047619048;0,942857142857143;0,895238095238095;0,942857142857143;0,923809523809524;0,90952380952381;0,940229885057471;0,944827586206897;0,880459770114943;0,903448275862069;0,935632183908046;0,889655172413793;0,915708812260536;0,92;0,913333333333333;0,926666666666667;0,903333333333333;0,943333333333333;0,84;0,907777777777778;0,92;0,906666666666667;0,93;0,913333333333333;0,926666666666667;0,916666666666667;0,918888888888889;0,938775510204082;0,921632653061225;0,902857142857143;0,924081632653061;0,935510204081633;0,917551020408163;0,923401360544218
4;15;0;0;0,9;0,9;1;1;1;1;0,966666666666667;0,9;1;0,8;1;1;1;0,95;0,977777777777778;0,955555555555556;0,955555555555556;0,977777777777778;0,955555555555556;0,977777777777778;0,966666666666667;0,911111111111111;0,977777777777778;0,955555555555556;0,977777777777778;0,933333333333333;0,911111111111111;0,944444444444444;0,955555555555556;0,955555555555556;0,977777777777778;0,977777777777778;0,955555555555556;0,955555555555556;0,962962962962963;0,936842105263158;0,963157894736842;0,978947368421053;0,905263157894737;0,947368421052632;0,957894736842105;0,948245614035088;0,952380952380952;0,961904761904762;0,952380952380952;0,961904761904762;0,923809523809524;0,971428571428571;0,953968253968254;0,933333333333333;0,933333333333333;0,923809523809524;0,933333333333333;0,942857142857143;0,971428571428571;0,93968253968254;0,926436781609195;0,95632183908046;0,928735632183908;0,928735632183908;0,942528735632184;0,96551724137931;0,941379310344828;0,953333333333333;0,96;0,963333333333333;0,956666666666667;0,953333333333333;0,946666666666667;0,955555555555556;0,953333333333333;0,963333333333333;0,963333333333333;0,953333333333333;0,956666666666667;0,943333333333333;0,955555555555556;0,919183673469388;0,916734693877551;0,957551020408163;0,94530612244898;0,943673469387755;0,94530612244898;0,937959183673469
5;15;0;0;1;1;0,9;0,9;0,9;0,9;0,933333333333333;1;0,9;0,9;1;0,9;0,9;0,933333333333333;0,977777777777778;0,911111111111111;0,977777777777778;0,844444444444444;0,977777777777778;0,866666666666667;0,925925925925926;0,955555555555556;0,888888888888889;0,933333333333333;0,977777777777778;0,977777777777778;1;0,955555555555556;0,977777777777778;0,933333333333333;0,777777777777778;0,955555555555556;0,955555555555556;0,933333333333333;0,922222222222222;0,963157894736842;0,963157894736842;0,921052631578947;0,905263157894737;0,905263157894737;0,91578947368421;0,928947368421053;0,980952380952381;0,933333333333333;0,923809523809524;0,923809523809524;0,914285714285714;0,942857142857143;0,936507936507937;0,952380952380952;0,961904761904762;0,933333333333333;0,971428571428571;0,942857142857143;0,952380952380952;0,952380952380952;0,940229885057471;0,926436781609195;0,926436781609195;0,91264367816092;0,954022988505747;0,910344827586207;0,928352490421456;0,92;0,933333333333333;0,926666666666667;0,93;0,906666666666667;0,923333333333333;0,923333333333333;0,926666666666667;0,95;0,946666666666667;0,966666666666667;0,946666666666667;0,94;0,946111111111111;0,946938775510204;0,924897959183673;0,92734693877551;0,950204081632653;0,924081632653061;0,934693877551021;0,93469387755102
6;15;0;0;1;0,9;0,9;0,9;0,7;1;0,9;1;1;1;1;1;0,9;0,983333333333333;0,866666666666667;0,866666666666667;0,955555555555556;0,977777777777778;0,955555555555556;0,977777777777778;0,933333333333333;0,933333333333333;0,888888888888889;0,977777777777778;0,8;0,888888888888889;0,955555555555556;0,907407407407407;0,977777777777778;0,955555555555556;1;0,955555555555556;0,866666666666667;0,955555555555556;0,951851851851852;0,936842105263158;0,936842105263158;0,910526315789474;0,926315789473684;0,926315789473684;0,947368421052632;0,930701754385965;0,952380952380952;0,952380952380952;0,971428571428571;0,971428571428571;0,952380952380952;0,885714285714286;0,947619047619048;0,876190476190476;0,961904761904762;0,914285714285714;0,961904761904762;0,961904761904762;0,961904761904762;0,93968253968254;0,96551724137931;0,933333333333333;0,92183908045977;0,914942528735632;0,926436781609195;0,951724137931035;0,935632183908046;0,94;0,973333333333333;0,936666666666667;0,933333333333333;0,906666666666667;0,92;0,935;0,903333333333333;0,9;0,926666666666667;0,896666666666667;0,913333333333333;0,91;0,908333333333333;0,942857142857143;0,939591836734694;0,939591836734694;0,931428571428571;0,918367346938776;0,946122448979592;0,936326530612245
7;15;0;0;1;0,7;0,9;0,9;1;1;0,916666666666667;1;1;0,9;1;1;0,9;0,966666666666667;0,955555555555556;0,955555555555556;0,977777777777778;0,8;0,955555555555556;1;0,940740740740741;0,911111111111111;0,977777777777778;0,955555555555556;0,977777777777778;0,866666666666667;0,977777777777778;0,944444444444445;0,977777777777778;0,977777777777778;0,955555555555556;0,933333333333333;0,933333333333333;0,955555555555556;0,955555555555556;0,963157894736842;0,963157894736842;0,947368421052632;0,978947368421053;0,936842105263158;0,952631578947368;0,957017543859649;0,933333333333333;0,895238095238095;0,961904761904762;0,971428571428571;0,904761904761905;0,942857142857143;0,934920634920635;0,980952380952381;0,904761904761905;0,952380952380952;0,971428571428571;0,942857142857143;0,914285714285714;0,944444444444444;0,937931034482759;0,935632183908046;0,947126436781609;0,951724137931035;0,908045977011494;0,914942528735632;0,932567049808429;0,926666666666667;0,94;0,93;0,953333333333333;0,93;0,95;0,938333333333333;0,893333333333333;0,946666666666667;0,93;0,976666666666667;0,956666666666667;0,956666666666667;0,943333333333333;0,942857142857143;0,946938775510204;0,936326530612245;0,92734693877551;0,946938775510204;0,924897959183673;0,937551020408163
8;15;0;0;1;0,9;1;1;1;1;0,983333333333333;1;0,9;0,8;0,9;0,9;1;0,916666666666667;1;0,955555555555556;0,888888888888889;0,911111111111111;0,977777777777778;0,844444444444444;0,92962962962963;0,888888888888889;0,955555555555556;0,977777777777778;0,911111111111111;0,933333333333333;0,977777777777778;0,940740740740741;0,866666666666667;0,955555555555556;0,955555555555556;0,955555555555556;0,955555555555556;1;0,948148148148148;0,942105263157895;0,957894736842105;0,931578947368421;0,968421052631579;0,894736842105263;0,947368421052632;0,940350877192982;0,933333333333333;0,971428571428571;0,923809523809524;0,942857142857143;0,952380952380952;0,933333333333333;0,942857142857143;0,933333333333333;0,980952380952381;0,961904761904762;0,961904761904762;0,914285714285714;0,933333333333333;0,947619047619048;0,960919540229885;0,942528735632184;0,947126436781609;0,937931034482759;0,933333333333333;0,949425287356322;0,945210727969349;0,956666666666667;0,933333333333333;0,946666666666667;0,946666666666667;0,95;0,91;0,940555555555556;0,953333333333333;0,943333333333333;0,95;0,956666666666667;0,936666666666667;0,923333333333333;0,943888888888889;0,88734693877551;0,936326530612245;0,933877551020408;0,935510204081633;0,953469387755102;0,955918367346939;0,933741496598639
9;15;0;0;0,9;1;0,9;1;1;0,9;0,95;1;0,9;0,7;1;1;0,9;0,916666666666667;0,977777777777778;0,933333333333333;0,888888888888889;0,955555555555556;0,844444444444444;0,933333333333333;0,922222222222222;0,955555555555556;1;0,911111111111111;0,933333333333333;0,933333333333333;1;0,955555555555556;0,866666666666667;0,933333333333333;0,955555555555556;0,911111111111111;0,955555555555556;0,911111111111111;0,922222222222222;0,884210526315789;0,910526315789474;0,921052631578947;0,942105263157895;0,936842105263158;0,942105263157895;0,92280701754386;0,904761904761905;0,942857142857143;0,876190476190476;0,961904761904762;0,885714285714286;0,923809523809524;0,915873015873016;0,952380952380952;0,971428571428571;0,904761904761905;0,933333333333333;0,933333333333333;0,923809523809524;0,936507936507937;0,926436781609195;0,866666666666667;0,944827586206897;0,92183908045977;0,908045977011494;0,917241379310345;0,914176245210728;0,956666666666667;0,94;0,933333333333333;0,933333333333333;0,923333333333333;0,94;0,937777777777778;0,953333333333333;0,95;0,93;0,933333333333333;0,943333333333333;0,936666666666667;0,941111111111111;0,913469387755102;0,930612244897959;0,929795918367347;0,944489795918367;0,932244897959184;0,934693877551021;0,930884353741497
10;15;0;0;1;0,8;1;1;1;0,7;0,916666666666667;0,9;0,9;0,9;1;0,9;1;0,933333333333333;0,955555555555556;0,955555555555556;0,911111111111111;0,888888888888889;0,977777777777778;0,955555555555556;0,940740740740741;0,888888888888889;0,911111111111111;0,955555555555556;0,955555555555556;0,911111111111111;0,977777777777778;0,933333333333333;0,955555555555556;0,977777777777778;0,955555555555556;0,955555555555556;0,977777777777778;0,933333333333333;0,959259259259259;0,968421052631579;0,905263157894737;0,947368421052632;0,963157894736842;0,936842105263158;0,926315789473684;0,941228070175439;0,980952380952381;0,952380952380952;0,952380952380952;0,904761904761905;0,923809523809524;0,904761904761905;0,936507936507937;0,933333333333333;0,952380952380952;0,942857142857143;0,961904761904762;0,961904761904762;0,923809523809524;0,946031746031746;0,947126436781609;0,947126436781609;0,954022988505747;0,947126436781609;0,928735632183908;0,910344827586207;0,939080459770115;0,943333333333333;0,943333333333333;0,936666666666667;0,933333333333333;0,913333333333333;0,95;0,936666666666667;0,95;0,943333333333333;0,936666666666667;0,916666666666667;0,866666666666667;0,94;0,925555555555556;0,941224489795918;0,94530612244898;0,948571428571429;0,935510204081633;0,955102040816327;0,942040816326531;0,944625850340136
