"run";"gen";"mr";"ad";"divM1_10";"divM2_10";"divM3_10";"divM4_10";"divM5_10";"divM6_10";"divM10_mean";"divF1_10";"divF2_10";"divF3_10";"divF4_10";"divF5_10";"divF6_10";"divF10_mean";"divT1_10";"divT2_10";"divT3_10";"divT4_10";"divT5_10";"divT6_10";"divT10_mean";"divM1_20";"divM2_20";"divM3_20";"divM4_20";"divM5_20";"divM6_20";"divm20_mean";"divF1_20";"divF2_20";"divF3_20";"divF4_20";"divF5_20";"divF6_20";"divF20_mean";"divT1_20";"divT2_20";"divT3_20";"divT4_20";"divT5_20";"divT6_20";"divT20_mean";"divM1_30";"divM2_30";"divM3_30";"divM4_30";"divM5_30";"divM6_30";"divM30_mean";"divF1_30";"divF2_30";"divF3_30";"divF4_30";"divF5_30";"divF6_30";"divF30_mean";"divT1_30";"divT2_30";"divT3_30";"divT4_30";"divT5_30";"divT6_30";"divT30_mean";"divM1_50";"divM2_50";"divM3_50";"divM4_50";"divM5_50";"divM6_50";"divM50_mean";"divF1_50";"divF2_50";"divF3_50";"divF4_50";"divF5_50";"divF6_50";"divF50_mean";"divT1_50";"divT2_50";"divT3_50";"divT4_50";"divT5_50";"divT6_50";"divT50_mean"
1;15;0;0,239669760236163;0,8;1;0,8;0,9;0,9;0,9;0,883333333333333;0;1;0,7;0,9;0,9;0,6;0,683333333333333;0,644444444444445;0,933333333333333;0,955555555555556;0,955555555555556;0,955555555555556;0,888888888888889;0,888888888888889;0,644444444444445;0,933333333333333;0,866666666666667;0,844444444444444;0,955555555555556;0,822222222222222;0,844444444444445;0,644444444444445;0,888888888888889;0,777777777777778;0,911111111111111;0,911111111111111;0,911111111111111;0,840740740740741;0,621052631578947;0,910526315789474;0,747368421052631;0,91578947368421;0,947368421052632;0,910526315789474;0,842105263157895;0,638095238095238;0,923809523809524;0,838095238095238;0,942857142857143;0,961904761904762;0,866666666666667;0,861904761904762;0,466666666666667;0,895238095238095;0,8;0,942857142857143;0,952380952380952;0,885714285714286;0,823809523809524;0,671264367816092;0,87816091954023;0,822988505747126;0,905747126436782;0,914942528735632;0,887356321839081;0,846743295019157;0,683333333333333;0,923333333333333;0,903333333333333;0,9;0,946666666666667;0,873333333333333;0,871666666666667;0,59;0,83;0,9;0,936666666666667;0,943333333333333;0,883333333333333;0,847222222222222;0,643265306122449;0,920816326530612;0,842448979591837;0,922448979591837;0,933877551020408;0,864489795918367;0,854557823129252
2;15;0;0,210340875088783;0,7;1;0,9;1;0,9;0,9;0,9;0,4;0,9;0,9;0,8;1;0,7;0,783333333333333;0,955555555555556;0,955555555555556;0,911111111111111;0,933333333333333;0,888888888888889;0,844444444444444;0,914814814814815;0,933333333333333;0,911111111111111;0,955555555555556;0,955555555555556;0,911111111111111;0,644444444444444;0,885185185185185;0,822222222222222;0,955555555555556;0,933333333333333;0,8;0,955555555555556;0,777777777777778;0,874074074074074;0,926315789473684;0,910526315789474;0,852631578947368;0,926315789473684;0,905263157894737;0,894736842105263;0,902631578947368;0,866666666666667;0,923809523809524;0,809523809523809;0,923809523809524;0,942857142857143;0,904761904761905;0,895238095238095;0,866666666666667;0,847619047619048;0,914285714285714;0,904761904761905;0,914285714285714;0,904761904761905;0,892063492063492;0,818390804597701;0,935632183908046;0,866666666666667;0,880459770114943;0,919540229885057;0,820689655172414;0,873563218390805;0,91;0,913333333333333;0,85;0,89;0,903333333333333;0,853333333333333;0,886666666666667;0,89;0,93;0,926666666666667;0,873333333333333;0,946666666666667;0,853333333333333;0,903333333333333;0,85469387755102;0,88;0,86530612244898;0,871020408163265;0,910204081632653;0,880816326530612;0,877006802721088
3;15;0;0,272494589615472;0,7;0,9;0,9;0,9;0,7;0,7;0,8;0,8;0,9;0,8;1;0,8;1;0,883333333333333;0,8;0,911111111111111;0,911111111111111;0,888888888888889;0,933333333333333;0,933333333333333;0,896296296296296;0,844444444444444;0,911111111111111;0,822222222222222;0,866666666666667;0,933333333333333;0,777777777777778;0,859259259259259;0,888888888888889;0,888888888888889;0,933333333333333;0,888888888888889;0,866666666666667;0,933333333333333;0,9;0,8;0,952631578947368;0,789473684210526;0,778947368421053;0,857894736842105;0,905263157894737;0,847368421052632;0,8;0,857142857142857;0,828571428571429;0,876190476190476;0,933333333333333;0,828571428571429;0,853968253968254;0,828571428571429;0,876190476190476;0,866666666666667;0,780952380952381;0,923809523809524;0,857142857142857;0,855555555555556;0,859770114942529;0,905747126436782;0,873563218390805;0,944827586206897;0,914942528735632;0,852873563218391;0,891954022988506;0,846666666666667;0,873333333333333;0,803333333333333;0,9;0,92;0,853333333333333;0,866111111111111;0,733333333333333;0,92;0,83;0,87;0,896666666666667;0,843333333333333;0,848888888888889;0,782040816326531;0,902857142857143;0,863673469387755;0,879183673469388;0,875918367346939;0,901224489795918;0,867482993197279
4;15;0;0,338032503947572;1;1;0,8;1;0,9;0,9;0,933333333333333;1;0,9;1;0,9;0,6;0,9;0,883333333333333;0,933333333333333;0,911111111111111;0,955555555555556;0,911111111111111;0,822222222222222;0,933333333333333;0,911111111111111;0,977777777777778;0,933333333333333;0,911111111111111;0,911111111111111;0,888888888888889;0,933333333333333;0,925925925925926;0,866666666666667;0,933333333333333;0,888888888888889;0,888888888888889;0,844444444444444;0,955555555555556;0,896296296296296;0,942105263157895;0,905263157894737;0,910526315789474;0,905263157894737;0,821052631578947;0,868421052631579;0,892105263157895;0,838095238095238;0,885714285714286;0,914285714285714;0,876190476190476;0,819047619047619;0,961904761904762;0,882539682539683;0,8;0,904761904761905;0,857142857142857;0,895238095238095;0,780952380952381;0,904761904761905;0,857142857142857;0,901149425287356;0,871264367816092;0,908045977011494;0,855172413793103;0,862068965517241;0,940229885057471;0,889655172413793;0,94;0,89;0,92;0,876666666666667;0,813333333333333;0,926666666666667;0,894444444444444;0,89;0,923333333333333;0,893333333333333;0,86;0,88;0,923333333333333;0,895;0,916734693877551;0,899591836734694;0,931428571428571;0,928163265306122;0,888979591836735;0,932244897959184;0,916190476190476
5;15;0;0,199841455648245;1;0,9;0,8;0,8;1;0,9;0,9;0,9;0,9;0,9;0,9;0,9;1;0,916666666666667;0,933333333333333;0,911111111111111;0,933333333333333;0,888888888888889;0,866666666666667;0,844444444444444;0,896296296296296;0,911111111111111;0,977777777777778;0,8;0,888888888888889;0,8;0,933333333333333;0,885185185185185;0,955555555555556;0,844444444444444;0,888888888888889;0,955555555555556;0,866666666666667;0,866666666666667;0,896296296296296;0,91578947368421;0,910526315789474;0,726315789473684;0,852631578947368;0,578947368421053;0,931578947368421;0,819298245614035;0,885714285714286;0,914285714285714;0,79047619047619;0,847619047619048;0,752380952380952;0,895238095238095;0,847619047619048;0,819047619047619;0,923809523809524;0,876190476190476;0,847619047619048;0,838095238095238;0,866666666666667;0,861904761904762;0,903448275862069;0,91264367816092;0,839080459770115;0,855172413793103;0,917241379310345;0,880459770114943;0,884674329501916;0,9;0,883333333333333;0,876666666666667;0,88;0,883333333333333;0,893333333333333;0,886111111111111;0,94;0,903333333333333;0,86;0,893333333333333;0,826666666666667;0,86;0,880555555555556;0,902857142857143;0,908571428571429;0,88734693877551;0,897959183673469;0,879183673469388;0,921632653061225;0,899591836734694
6;15;0;0,176723224882878;0,9;0,9;0,9;0,8;1;0,9;0,9;0,9;0,9;0,7;0,8;0,9;0,7;0,816666666666667;0,933333333333333;0,866666666666667;0,888888888888889;0,911111111111111;0,866666666666667;0,888888888888889;0,892592592592593;0,822222222222222;0,644444444444444;0,8;0,911111111111111;0,866666666666667;0,888888888888889;0,822222222222222;0,933333333333333;0,755555555555556;0,711111111111111;0,911111111111111;0,911111111111111;0,822222222222222;0,840740740740741;0,936842105263158;0,815789473684211;0,921052631578947;0,942105263157895;0,931578947368421;0,815789473684211;0,893859649122807;0,847619047619048;0,704761904761905;0,638095238095238;0,885714285714286;0,876190476190476;0,838095238095238;0,798412698412698;0,914285714285714;0,895238095238095;0,819047619047619;0,914285714285714;0,933333333333333;0,771428571428571;0,874603174603175;0,903448275862069;0,767816091954023;0,857471264367816;0,905747126436782;0,889655172413793;0,818390804597701;0,857088122605364;0,926666666666667;0,876666666666667;0,883333333333333;0,9;0,86;0,843333333333333;0,881666666666667;0,91;0,8;0,856666666666667;0,853333333333333;0,913333333333333;0,796666666666667;0,855;0,925714285714286;0,826938775510204;0,851428571428571;0,929795918367347;0,911836734693877;0,84;0,880952380952381
7;15;0;0,215609207633307;1;0,9;0,7;0,9;0,9;1;0,9;0,7;1;0,9;1;1;0,9;0,916666666666667;0,933333333333333;0,844444444444444;0,888888888888889;0,911111111111111;0,844444444444444;0,933333333333333;0,892592592592593;0,822222222222222;0,866666666666667;0,711111111111111;0,822222222222222;0,977777777777778;0,911111111111111;0,851851851851852;0,911111111111111;0,844444444444444;0,844444444444444;0,955555555555556;0,933333333333333;0,933333333333333;0,903703703703704;0,884210526315789;0,905263157894737;0,857894736842105;0,910526315789474;0,905263157894737;0,784210526315789;0,874561403508772;0,914285714285714;0,904761904761905;0,876190476190476;0,857142857142857;0,885714285714286;0,714285714285714;0,858730158730159;0,914285714285714;0,809523809523809;0,895238095238095;0,933333333333333;0,942857142857143;0,923809523809524;0,903174603174603;0,917241379310345;0,873563218390805;0,864367816091954;0,84367816091954;0,903448275862069;0,919540229885057;0,886973180076628;0,886666666666667;0,9;0,826666666666667;0,913333333333333;0,896666666666667;0,893333333333333;0,886111111111111;0,866666666666667;0,906666666666667;0,843333333333333;0,9;0,906666666666667;0,87;0,882222222222222;0,908571428571429;0,902040816326531;0,843265306122449;0,884081632653061;0,891428571428571;0,880816326530612;0,885034013605442
8;15;0;0,160616937293959;0,9;0,7;0,9;1;0;1;0,75;0,9;0,7;0,9;0,9;0,4;1;0,8;0,8;0,755555555555556;0,977777777777778;0,955555555555556;0,466666666666667;0,955555555555556;0,818518518518519;0,933333333333333;0,533333333333333;0,822222222222222;0,888888888888889;0,533333333333333;0,911111111111111;0,77037037037037;0,911111111111111;0,733333333333333;0,755555555555556;0,933333333333333;0,6;0,844444444444444;0,796296296296296;0,857894736842105;0,821052631578947;0,815789473684211;0,931578947368421;0,684210526315789;0,926315789473684;0,839473684210526;0,933333333333333;0,847619047619048;0,771428571428571;0,914285714285714;0,447619047619048;0,923809523809524;0,806349206349206;0,904761904761905;0,923809523809524;0,819047619047619;0,885714285714286;0,571428571428572;0,876190476190476;0,83015873015873;0,908045977011494;0,8;0,84367816091954;0,891954022988506;0,737931034482759;0,919540229885057;0,850191570881226;0,93;0,803333333333333;0,88;0,89;0,296666666666667;0,906666666666667;0,784444444444444;0,91;0,796666666666667;0,766666666666667;0,913333333333333;0,356666666666667;0,906666666666667;0,775;0,919183673469388;0,822040816326531;0,877551020408163;0,906938775510204;0,462040816326531;0,913469387755102;0,81687074829932
9;15;0;0,113344948257584;0,7;0,9;1;0,7;0,9;0,6;0,8;0,9;0,8;0,8;0,9;0,9;0,9;0,866666666666667;0,733333333333333;0,933333333333333;0,777777777777778;0,644444444444444;0,822222222222222;0,911111111111111;0,803703703703704;0,822222222222222;0,777777777777778;0,888888888888889;0,533333333333333;0,911111111111111;0,733333333333333;0,777777777777778;0,711111111111111;0,8;0,888888888888889;0,888888888888889;0,755555555555556;0,822222222222222;0,811111111111111;0,821052631578947;0,894736842105263;0,863157894736842;0,747368421052631;0,810526315789474;0,726315789473684;0,810526315789474;0,733333333333333;0,923809523809524;0,780952380952381;0,733333333333333;0,761904761904762;0,771428571428571;0,784126984126984;0,771428571428571;0,885714285714286;0,828571428571429;0,704761904761905;0,761904761904762;0,542857142857143;0,749206349206349;0,76551724137931;0,87816091954023;0,852873563218391;0,75632183908046;0,760919540229885;0,751724137931035;0,794252873563218;0,683333333333333;0,913333333333333;0,85;0,633333333333333;0,843333333333333;0,723333333333333;0,774444444444444;0,823333333333333;0,84;0,883333333333333;0,716666666666667;0,746666666666667;0,673333333333333;0,780555555555556;0,721632653061225;0,886530612244898;0,875102040816327;0,662857142857143;0,704489795918367;0,751836734693878;0,767074829931973
10;15;0;0,198359226240541;0,8;1;0,9;0,7;1;0,9;0,883333333333333;0,9;0,9;0,9;0,7;0,7;0,9;0,833333333333333;0,2;0,955555555555556;0,866666666666667;0,8;0,888888888888889;0,866666666666667;0,762962962962963;0,8;0,911111111111111;0,888888888888889;0,644444444444445;0,911111111111111;0,933333333333333;0,848148148148148;0,8;0,933333333333333;0,933333333333333;0,6;0,911111111111111;0,755555555555556;0,822222222222222;0,521052631578947;0,910526315789474;0,884210526315789;0,773684210526316;0,910526315789474;0,831578947368421;0,805263157894737;0,695238095238095;0,895238095238095;0,895238095238095;0,704761904761905;0,923809523809524;0,866666666666667;0,83015873015873;0,704761904761905;0,876190476190476;0,895238095238095;0,533333333333333;0,885714285714286;0,847619047619048;0,79047619047619;0,636781609195402;0,868965517241379;0,871264367816092;0,740229885057471;0,91264367816092;0,827586206896552;0,809578544061303;0,686666666666667;0,85;0,903333333333333;0,773333333333333;0,91;0,836666666666667;0,826666666666667;0,7;0,89;0,856666666666667;0,666666666666667;0,933333333333333;0,856666666666667;0,817222222222222;0,733061224489796;0,886530612244898;0,857142857142857;0,743673469387755;0,935510204081633;0,892244897959184;0,841360544217687
