"run";"gen";"nf1";"nf2";"nf3";"nf4";"nf5";"nf6";"tfr";"cm";"mr";"ad";"fnf1";"fnf2";"fnf3";"fnf4";"fnf5";"fnf6";"divm1";"divm2";"divm3";"divm4";"divm5";"divm6";"divf1";"divf2";"divf3";"divf4";"divf5";"divf6";"divt1";"divt2";"divt3";"divt4";"divt5";"divt6"
1;1;42;45;45;52;58;33;1;2;0;0,186043601971125;53;69;50;74;77;42;0,938039215686274;0,935574229691877;0,941829719725013;0,935469710272169;0,943849399545602;0,921794871794872;0,94267053701016;0,942028985507246;0,928163265306122;0,940392447241762;0,948735475051264;0,931475029036005;0,940067214339059;0,937356760886173;0,932271557271557;0,939766257117171;0,949875930521092;0,932249322493225
1;2;42;45;45;52;58;33;1;2;0;0,186043601971125;74;97;59;107;106;47;0,920673076923077;0,935042735042735;0,916036036036036;0,923763827802212;0,937177280550774;0,932880844645551;0,938171047760089;0,921821305841924;0,915254237288135;0,930523717157468;0,950404312668463;0,918593894542091;0,931185486393494;0,929400386847195;0,917629895634609;0,925612303018796;0,943971038707881;0,925788497217069
1;3;42;45;45;52;58;33;1;2;0;0,186043601971125;101;133;79;140;125;69;0,932330827067669;0,914782129067843;0,92383757626762;0,936476124085047;0,948356807511737;0,925965097831835;0,925544554455446;0,91786283891547;0,915287244401168;0,936073997944502;0,934967741935484;0,924978687127025;0,929410271059481;0,914895780376207;0,919298921417565;0,934707903780069;0,943116217510067;0,930123311802701
1;4;42;45;45;52;58;33;1;2;0;0,186043601971125;147;191;110;173;171;100;0,920323196049826;0,896835405032126;0,914518900343643;0,934816304302292;0,94121754586428;0,909401709401709;0,925449631907558;0,908735188757233;0,916430358632193;0,928821078101896;0,920261437908497;0,917777777777778;0,924580579562786;0,902610715258563;0,919422165939684;0,932042382170259;0,931791983664328;0,918434830531827
1;5;42;45;45;52;58;33;1;2;0;0,186043601971125;224;235;164;237;206;127;0,92497062279671;0,908125593333568;0,9101215309269;0,927569354101473;0,918783797571676;0,906064516129032;0,923766816143498;0,906019276232042;0,900269340116714;0,932203389830508;0,904096613781672;0,907636545431821;0,924852581619445;0,907565498969679;0,903661833374293;0,931543564794339;0,912175867006045;0,908429772971606
1;6;42;45;45;52;58;33;1;2;0;0,186043601971125;294;322;205;311;274;181;0,93259966102482;0,897222057924726;0,887309550353029;0,923367412729115;0,895759915602343;0,917028280712255;0,927375728448376;0,909134885160891;0,895026303204209;0,922954050409708;0,904975802786022;0,889932473910375;0,929481162141177;0,902920241809672;0,890324173111733;0,923600819032761;0,90043202870428;0,905460060667341
1;7;42;45;45;52;58;33;1;2;0;0,186043601971125;388;405;274;406;415;252;0,919744234702273;0,915646207863426;0,889670619235837;0,929298109607013;0,908475749850502;0,898855151816824;0,91595407442926;0,910108788656643;0,869655891553702;0,926740862373046;0,904871660555264;0,893442104597483;0,917677902621723;0,912671690942467;0,881616161616162;0,928759172380609;0,906416537300995;0,895760102785387
1;8;42;45;45;52;58;33;1;2;0;0,186043601971125;526;548;366;571;496;367;0,923338386880162;0,907878194804048;0,868392348392348;0,918148399129251;0,908858330668372;0,896733049899306;0,91991309071157;0,913563031265429;0,881024028744667;0,916631333148985;0,899543825350277;0,885290570420333;0,921553059506716;0,91061478821719;0,874247134631417;0,918063882242702;0,904519494126423;0,891472643211079
1;9;42;45;45;52;58;33;1;2;0;0,186043601971125;669;719;443;720;630;509;0,91859511499376;0,908849723007877;0,887906553565356;0,913406867176983;0,907575363424323;0,897137038408456;0,912739543334855;0,901639153730227;0,882291656026884;0,918579044969866;0,905599717364423;0,88839472177962;0,91626362308331;0,907199635068376;0,884614175703285;0,91591939174725;0,906546478395774;0,893588395709216
1;10;42;45;45;52;58;33;1;2;0;0,186043601971125;937;887;610;969;820;682;0,917485367892977;0,916758491251438;0,868291062801932;0,910985963796025;0,910417477916914;0,883203363178332;0,911880068230122;0,917496519833766;0,883270074564591;0,913389453214953;0,899258465112124;0,879916114391033;0,915195248149609;0,916956515113976;0,876201250880526;0,912036405379711;0,904691397371118;0,881120669973021
1;11;42;45;45;52;58;33;1;2;0;0,186043601971125;1278;1168;882;1269;1103;884;0,917209272581934;0,9208319013811;0,886984560923891;0,911187793107293;0,905932378357166;0,894295060903965;0,908825090103835;0,920873390381613;0,881025736060599;0,915210565958938;0,898626580206103;0,882624536878084;0,912975309198112;0,920708441992824;0,884184520204353;0,914342865471867;0,90278493643714;0,889290868699095
1;12;42;45;45;52;58;33;1;2;0;0,186043601971125;1662;1509;1135;1678;1533;1117;0,911420964175778;0,917790835143656;0,87863290105616;0,913478678184561;0,90358742894394;0,891034320015339;0,909348825718635;0,920007804631099;0,868902718535611;0,915418801523522;0,905494269670385;0,883883161181223;0,910593400276402;0,918802134932916;0,873975870881197;0,914391940034523;0,904568219144751;0,888136997280818
1;13;42;45;45;52;58;33;1;2;0;0,186043601971125;2180;1977;1442;2238;2037;1483;0,908303243072982;0,919610501039274;0,880404641775109;0,912146859533064;0,906698132667139;0,889170558149878;0,914576166998581;0,919944237271128;0,877243707896639;0,913850374899679;0,901956245605608;0,89170927734295;0,911496485798373;0,919649117572467;0,880395364969833;0,912935708514959;0,904372645891503;0,890813199680821
1;14;42;45;45;52;58;33;1;2;0;0,186043601971125;2799;2647;1900;2839;2713;1938;0,915038910431946;0,915768784815559;0,868110547044063;0,915200318730553;0,899087657815758;0,885083662773408;0,91188954699179;0,920969302803185;0,873803941132452;0,916988805624667;0,902366732013565;0,886962539818525;0,914178861385557;0,918377644316044;0,87248730047612;0,916149031993917;0,900763876742219;0,885915386292565
1;15;42;45;45;52;58;33;1;2;0;0,186043601971125;3673;3547;2523;3612;3779;2602;0,911510869863731;0,91821402033234;0,872346509645389;0,914784417009553;0,905124565421976;0,888865537708146;0,910639347247505;0,918997346247657;0,877999800723117;0,917243147476349;0,900139958767427;0,886182544938519;0,911086455554577;0,918565468197171;0,87674692783525;0,917339030041247;0,90334617153458;0,887810240378883
2;1;30;60;64;43;44;57;1;2;0;0,0158933637750669;35;81;79;48;73;79;0,914651493598862;0,944823109380071;0,946719946719947;0,918579234972678;0,932768361581921;0,936281859070465;0,905882352941176;0,952469135802469;0,950016228497241;0,928191489361702;0,944063926940639;0,929243752028562;0,906773211567732;0,947091194968553;0,946349828515434;0,925586136595311;0,938938254727728;0,933439069521544
2;2;30;60;64;43;44;57;1;2;0;0,0158933637750669;58;95;107;63;110;119;0,864646464646465;0,943276570757487;0,92656142759094;0,889897156684816;0,939281747500926;0,915095913261051;0,888687235329704;0,944456886898096;0,92170692999471;0,911930363543267;0,933778148457048;0,924227318045862;0,875880449267086;0,943598820058997;0,922985074626866;0,897658402203857;0,933060109289617;0,921397379912664
2;3;30;60;64;43;44;57;1;2;0;0,0158933637750669;76;144;106;76;146;185;0,877665995975855;0,926774001192606;0,902855302705024;0,905433646812957;0,919746276889134;0,922877137291682;0,881754385964912;0,92948717948718;0,90314465408805;0,88280701754386;0,928105810108644;0,919153936545241;0,88202404249371;0,929547338306462;0,903717307757712;0,89278767020799;0,926609551670498;0,91970991970992
2;4;30;60;64;43;44;57;1;2;0;0,0158933637750669;97;175;139;83;188;225;0,848125937031484;0,931958762886598;0,88051948051948;0,877170582226762;0,928010471204188;0,905100334448161;0,864905498281787;0,917504105090312;0,879783130017725;0,905965324713488;0,924906132665832;0,904246031746032;0,854548675702011;0,924749139383286;0,878665459357805;0,89453284373725;0,926440772114984;0,90424257976221
2;5;30;60;64;43;44;57;1;2;0;0,0158933637750669;134;225;176;101;257;277;0,859752120026093;0,911961722488038;0,863543675943786;0,902133662493388;0,923848571819052;0,892318403341843;0,864886095836606;0,919642857142857;0,855;0,900594059405941;0,911752188715953;0,894522053052896;0,860599898322318;0,915535780496848;0,859844254850285;0,899665551839465;0,917795123914669;0,892831680601465
2;6;30;60;64;43;44;57;1;2;0;0,0158933637750669;167;304;253;123;322;343;0,875873637126083;0,918519004218302;0,877975903614458;0,902439024390244;0,91126005829886;0,895264085700726;0,859822523627444;0,91718777140872;0,863918690005647;0,903771824603492;0,910934385944544;0,891258759142755;0,868093852383956;0,917524371877056;0,871203060521334;0,903031499950627;0,910910924677944;0,892892153742345
