"run";"gen";"nf1";"nf2";"nf3";"nf4";"nf5";"nf6";"tfr";"cm";"mr";"ad";"fnf1";"fnf2";"fnf3";"fnf4";"fnf5";"fnf6";"divm1";"divm2";"divm3";"divm4";"divm5";"divm6";"divf1";"divf2";"divf3";"divf4";"divf5";"divf6";"divt1";"divt2";"divt3";"divt4";"divt5";"divt6"
1;1;29;49;63;43;51;60;1;1;0,092207812760785;0;24;61;84;59;85;71;0,907258064516129;0,949260042283298;0,954521417239556;0,948051948051948;0,93871635610766;0,952884615384615;0,894927536231884;0,926229508196721;0,953528399311532;0,956165984804208;0,942296918767507;0,958551307847082;0,895454545454545;0,938278388278388;0,953897024090694;0,951029748283753;0,943443653121072;0,952723311546841
1;2;29;49;63;43;51;60;1;1;0,092207812760785;0;29;73;96;84;94;84;0,828571428571429;0,930796731358529;0,93689041881813;0,942488262910798;0,948095593726662;0,955756013745705;0,866995073891626;0,933409436834094;0,942543859649123;0,948364888123924;0,932509723175475;0,954962707974756;0,838942307692308;0,93068016256422;0,937988826815643;0,948717948717949;0,941701276726657;0,956046654389196
1;3;29;49;63;43;51;60;1;1;0,092207812760785;0;35;94;110;84;135;100;0,850378787878788;0,931798245614035;0,943859649122807;0,942577030812325;0,932935916542474;0,94427790513137;0,882352941176471;0,935712651567147;0,942618849040867;0,943201376936317;0,933112216694306;0,951515151515152;0,86523266022827;0,935226956279588;0,944166666666667;0,944460542837825;0,935432879377432;0,946719197035786
1;4;29;49;63;43;51;60;1;1;0,092207812760785;0;51;112;121;96;180;129;0,893333333333333;0,929608006672227;0,938867438867439;0,928117998506348;0,933995037220844;0,938132733408324;0,865098039215686;0,931628056628057;0,944490358126722;0,933991228070175;0,938361266294227;0,937742248062016;0,881964667054941;0,931719049366108;0,940506141778896;0,931005025125628;0,935998578535892;0,939185049019608
1;5;29;49;63;43;51;60;1;1;0,092207812760785;0;73;102;127;145;208;167;0,82962962962963;0,929008873890764;0,941954022988506;0,925196850393701;0,943077606754737;0,941749853200235;0,824200913242009;0,918850708600272;0,954505686789151;0,939942528735632;0,949461166852471;0,927205829305245;0,823449803149606;0,92304451084042;0,949017799001519;0,933311786252963;0,946668105541467;0,932207985899261
1;6;29;49;63;43;51;60;1;1;0,092207812760785;0;77;101;176;152;248;202;0,853986955606985;0,917814960629921;0,954168366653067;0,940777812532583;0,954545454545454;0,941195921741527;0,814422419685577;0,922772277227723;0,946948051948052;0,945277100034855;0,955596186496017;0,937687798630609;0,839605911330049;0,917758369723435;0,950246778627977;0,943855907097997;0,954538922155689;0,940515137352651
1;7;29;49;63;43;51;60;1;1;0,092207812760785;0;95;137;210;204;304;260;0,890538033395176;0,924759405074366;0,947324015993544;0,942097627581498;0,959558356952494;0,945680406549972;0,845240761478164;0,929046801202233;0,950558213716108;0,945426446440645;0,9552284175786;0,944995544995545;0,868543347043427;0,928044705611245;0,948060927744901;0,944531161633299;0,957398671416193;0,945118250966374
1;8;29;49;63;43;51;60;1;1;0,092207812760785;0;120;133;242;227;378;326;0,823375653472741;0,933364005827774;0,953926398145465;0,943614494752164;0,948447019147084;0,945004833354348;0,849719887955182;0,931875142401458;0,953842460820959;0,945382246306187;0,951496779082986;0,945842378480415;0,840526905829596;0,931511587685922;0,953010530558775;0,943290919606709;0,950082947910092;0,945562482923073
1;9;29;49;63;43;51;60;1;1;0,092207812760785;0;138;166;282;272;458;373;0,858819965159433;0,921171689287631;0,95654403567447;0,949929676511955;0,956935159343156;0,948529592413336;0,883634824923305;0,926396495071194;0,957194417102042;0,945273496852616;0,955663000582879;0,946697800455476;0,868726467331119;0,924144103826359;0,95700031347777;0,948799962915319;0,956297540254865;0,947395480900636
1;10;29;49;63;43;51;60;1;1;0,092207812760785;0;159;184;345;351;559;426;0,906261510128913;0,924183006535948;0,952581766675251;0,938995864126381;0,958188676156632;0,95430423049528;0,89706233580129;0,925576146353053;0,953791708796764;0,942905982905983;0,95518110296805;0,950753935376968;0,901041124414367;0,925837510941354;0,953505198291491;0,941732838513051;0,957080340186607;0,952646678646868
