"run";"gen";"nf1";"nf2";"nf3";"nf4";"nf5";"nf6";"tfr";"cm";"mr";"ad";"fnf1";"fnf2";"fnf3";"fnf4";"fnf5";"fnf6";"divm1";"divm2";"divm3";"divm4";"divm5";"divm6";"divf1";"divf2";"divf3";"divf4";"divf5";"divf6";"divt1";"divt2";"divt3";"divt4";"divt5";"divt6"
1;1;31;41;38;44;30;54;1;2;0,251875923714396;0;44;60;46;64;35;55;0,931707317073171;0,949701619778346;0,950501253132832;0,945355191256831;0,896774193548387;0,95;0,913319238900634;0,942372881355932;0,933333333333333;0,956845238095238;0,939495798319328;0,954882154882155;0,923809523809524;0,946463178294574;0,948029697315819;0,951096774193548;0,920745920745921;0,949719887955182
1;2;31;41;38;44;30;54;1;2;0,251875923714396;0;53;71;60;81;45;65;0,913642960812772;0,948563611491108;0,923611111111111;0,94453781512605;0,945736434108527;0,938542581211589;0,912191582002903;0,950905432595573;0,940677966101695;0,949691358024691;0,939393939393939;0,95;0,908535489667565;0,950351135064511;0,936139522685549;0,946403797006207;0,949582027168234;0,944520391888813
1;3;31;41;38;44;30;54;1;2;0,251875923714396;0;71;78;79;103;52;87;0,914846353202518;0,947368421052632;0,934876543209877;0,958910654562828;0,950980392156863;0,937072503419973;0,924748490945674;0,956709956709957;0,952288218111003;0,962878355225585;0,918552036199095;0,926222935044106;0,92088122605364;0,951532128002716;0,943081761006289;0,960401797515199;0,940067214339059;0,929627638123404
1;4;31;41;38;44;30;54;1;2;0,251875923714396;0;95;96;113;140;75;123;0,923830594184576;0,956282847587195;0,944927536231884;0,95632946379215;0,903729071537291;0,921584158415842;0,92989921612542;0,95219298245614;0,947218710493047;0,962384378211716;0,925765765765766;0,927229108356657;0,926328502415459;0,952212993514621;0,945784063683438;0,960690112806901;0,913311270454128;0,922685778347213
1;5;31;41;38;44;30;54;1;2;0,251875923714396;0;138;128;152;180;91;159;0,906763590391909;0,944348659003831;0,948583082868184;0,950403896412449;0,941176470588235;0,92051282051282;0,924151063154554;0,951525590551181;0,949808295573371;0,956176288019863;0,944078144078144;0,927075869755593;0,916494023904383;0,949822236586942;0,948553440984237;0,952456634274816;0,944080636877247;0,9231220301284
1;6;31;41;38;44;30;54;1;2;0,251875923714396;0;183;170;200;242;110;235;0,94478349317059;0,961153705732019;0,948241206030151;0,948550608584241;0,941602316602317;0,944217978974469;0,939650513421005;0,95851026801253;0,955427135678392;0,947121154967251;0,936613844870726;0,941589379887252;0,941970071874632;0,959914712153518;0,951416040100251;0,948820896211177;0,93942358648241;0,94387167584296
1;7;31;41;38;44;30;54;1;2;0,251875923714396;0;239;230;259;304;142;305;0,940993788819876;0,957407590270235;0,954199792602834;0,950102864377275;0,940050789044078;0,943832893781294;0,942090643788896;0,961192329599392;0,953757744455419;0,953057147820045;0,951653181500349;0,94286022433132;0,94097825906976;0,959348519281927;0,95469696636704;0,951303628086633;0,945135679582889;0,943925754154304
1;8;31;41;38;44;30;54;1;2;0,251875923714396;0;334;298;326;412;201;383;0,94489940349813;0,96046295514066;0,952934472934473;0,949104155485264;0,93828689370485;0,948744146445296;0,940928952905001;0,956658305651594;0,952619159981123;0,95547209033142;0,952935323383085;0,946140281328175;0,944354087009454;0,95843218477374;0,953589190039593;0,951949313499485;0,947772657450077;0,948325001769251
1;9;31;41;38;44;30;54;1;2;0,251875923714396;0;448;390;429;566;249;521;0,947825330549756;0,95709654330344;0,951793817963867;0,954596944338247;0,948087516728393;0,950988187187642;0,946138942154043;0,959356667325819;0,946626582140601;0,954764063916945;0,956050006477523;0,945651852945519;0,946685637763642;0,958652488048675;0,948980265496613;0,954628702555238;0,951850649093487;0,948813201121214
1;10;31;41;38;44;30;54;1;2;0,251875923714396;0;578;463;542;687;326;650;0,947717391304348;0,960404144350633;0,94879504697382;0,953934191702432;0,957446808510638;0,947316055369338;0,951269242532368;0,957897394182491;0,945120079666601;0,954617405290251;0,957602642756017;0,949849472561337;0,949449931683003;0,958899066951794;0,946744386193123;0,954561580372683;0,956971776735065;0,948533955874636
