"run";"gen";"nf1";"nf2";"nf3";"nf4";"nf5";"nf6";"tfr";"cm";"mr";"ad";"fnf1";"fnf2";"fnf3";"fnf4";"fnf5";"fnf6";"divm1";"divm2";"divm3";"divm4";"divm5";"divm6";"divf1";"divf2";"divf3";"divf4";"divf5";"divf6";"divt1";"divt2";"divt3";"divt4";"divt5";"divt6"
1;1;24;46;30;42;30;27;2;2;0,151315324339695;0;38;52;38;38;33;27;0,913793103448276;0,949248120300752;0,923186344238976;0,942942942942943;0,833333333333333;0,902439024390244;0,971550497866287;0,972850678733032;0,95448079658606;0,978662873399715;0,971590909090909;0,985754985754986;0,963817277250113;0,967040434930343;0,956491228070176;0,967207207207207;0,944343617664852;0,949956101843723
1;2;24;46;30;42;30;27;2;2;0,151315324339695;0;56;52;50;46;40;40;0,925802879291251;0,964912280701754;0,949387755102041;0,948275862068966;0,948148148148148;0,955555555555555;0,967532467532467;0,963046757164404;0,976326530612245;0,968115942028985;0,957692307692308;0,966666666666667;0,958771387342816;0,969928644240571;0,965252525252525;0,971171171171171;0,959686450167973;0,971929824561404
1;3;24;46;30;42;30;27;2;2;0,151315324339695;0;49;56;70;61;51;60;0,961371961371961;0,959325396825397;0,963387978142076;0,947450980392157;0,939235412474849;0,951923076923077;0,971938775510204;0,954545454545454;0,967287784679089;0,963934426229508;0,967843137254902;0,971186440677966;0,96875390576178;0,959103641456583;0,966177334116265;0,962998712998713;0,957458338978458;0,967483870967742
1;4;24;46;30;42;30;27;2;2;0,151315324339695;0;59;70;80;77;49;58;0,953488372093023;0,931531531531532;0,957241794640169;0,95933014354067;0,962962962962963;0,918367346938776;0,969608416130918;0,968944099378882;0,964556962025316;0,970266575529733;0,972789115646258;0,958257713248639;0,968938070277616;0,956034482758621;0,968407330726171;0,968933027756557;0,966952949962659;0,959795450537824
1;5;24;46;30;42;30;27;2;2;0,151315324339695;0;74;77;86;88;59;69;0,955853174603175;0,948088531187123;0,935286935286935;0,963601935619609;0,940772078265468;0,949019607843137;0,949278045168456;0,965823650034176;0,971819425444596;0,964733542319749;0,96843950905903;0,974424552429667;0,958743256109172;0,960930318073175;0,960708782742681;0,968497529787852;0,959366391184573;0,967405143875732
1;6;24;46;30;42;30;27;2;2;0,151315324339695;0;97;98;91;96;53;82;0,942543859649123;0,941687737041719;0,966810966810967;0,963493840985442;0,951048951048951;0,958725182863114;0,963917525773196;0,962970755312434;0,968009768009768;0,969956140350877;0,973149492017416;0,967479674796748;0,959304835924007;0,959512525389303;0,968922305764411;0,970956186277211;0,965590135055784;0,967490428123912
1;7;24;46;30;42;30;27;2;2;0,151315324339695;0;129;117;116;111;53;99;0,949926181102362;0,959132610508757;0,946922900938;0,962330426356589;0,958862673926195;0,955643564356436;0,971172480620155;0,965222516946655;0,968665667166417;0,96969696969697;0,966618287373004;0,97423211708926;0,965527723735409;0,965186542434993;0,966233766233766;0,966143654114365;0,968714168714169;0,967085427135678
1;8;24;46;30;42;30;27;2;2;0,151315324339695;0;147;142;138;129;66;126;0,966353008269176;0,956683993069439;0,955690384261813;0,958435930266916;0,94375;0,962967119290764;0,966079582517939;0,971531315552892;0,968792975774886;0,968265503875969;0,969230769230769;0,964698412698413;0,96789000101102;0,967238421955403;0,968052999631947;0,967359453006295;0,963006459189665;0,968814968814969
1;9;24;46;30;42;30;27;2;2;0,151315324339695;0;164;164;163;148;94;154;0,95414722949141;0,965094339622642;0,958194714707175;0,957595276435856;0,953178400546821;0,958696705426357;0,966631752207093;0,962741283854556;0,965916837082481;0,969847398418827;0,964996568291009;0,968423733129615;0,962801087801088;0,969384244926041;0,963883315326439;0,966760622194384;0,962779497764018;0,966493747337293
1;10;24;46;30;42;30;27;2;2;0,151315324339695;0;176;199;191;176;116;202;0,964688601645123;0,962375719518577;0,954641598119859;0,967117374468355;0,956732433367947;0,960580380071905;0,968246753246753;0,965230191360845;0,965059244971066;0,971168831168831;0,967466266866567;0,968868528643909;0,968097876269621;0,964801130887361;0,962070921985816;0,969190633952722;0,965887251761691;0,967974759531488
1;11;24;46;30;42;30;27;2;2;0,151315324339695;0;216;223;205;200;133;224;0,961741293532338;0,959486519344919;0,960832137733142;0,967486122125297;0,960208805279228;0,962273361227336;0,965288544358312;0,968165474891932;0,962171209947394;0,967286432160804;0,9626338573707;0,964165598975016;0,966945674229847;0,965132139812447;0,962728844892361;0,967486988369852;0,963504611330698;0,965507931779251
1;12;24;46;30;42;30;27;2;2;0,151315324339695;0;233;257;246;223;165;248;0,962705342607666;0,965076305220884;0,953931080628973;0,965130759651307;0,944114273798353;0,965755865755866;0,962039366582803;0,961423881322957;0,964791770366683;0,965095139983032;0,963784183296378;0,966370641243307;0,963551617518113;0,963545930101114;0,961768984579575;0,966048027128893;0,960613166579816;0,966438366801783
1;13;24;46;30;42;30;27;2;2;0,151315324339695;0;281;318;290;270;204;296;0,9547670405522;0,958506709056057;0,959505570243825;0,963427634276343;0,962308441846045;0,961558860832468;0,960625317742755;0,962899033787671;0,962247941773058;0,957207765386204;0,962957596831836;0,962253779202932;0,957784195326857;0,961433822542996;0,962585034013605;0,962326281919628;0,964835823648773;0,96366399954114
1;14;24;46;30;42;30;27;2;2;0,151315324339695;0;342;351;329;318;249;330;0,957855965487068;0,961341298374639;0,957474890548545;0,954650527466061;0,961003392362516;0,960531550887244;0,964757935895457;0,960553520553521;0,963006894506635;0,960637263654941;0,962819018007514;0,961204752694114;0,962944516849749;0,962559151856244;0,961683051920369;0,95947536573062;0,963414730739072;0,961173005506467
1;15;24;46;30;42;30;27;2;2;0,151315324339695;0;412;395;390;366;313;398;0,961648374404639;0,958633673458774;0,961066259656451;0,955806166813813;0,954351809436555;0,955616672778389;0,962428838022347;0,963053395874831;0,961228659943313;0,958904109589041;0,961784222167609;0,960495171069453;0,962466140359588;0,961719939774471;0,961734930807096;0,958854027136486;0,959662086250108;0,960425834541914
2;1;64;45;41;41;38;52;2;2;0,142467361703505;0;63;48;57;50;43;59;0,925831202046036;0,945035460992908;0,944495837187789;0,914007092198581;0,921370967741935;0,949152542372881;0,95852534562212;0,964539007092199;0,968045112781955;0,977959183673469;0,965669988925803;0,95499707773232;0,957899606754569;0,96140350877193;0,965085884988798;0,957290132547864;0,955675675675676;0,95943792553962
2;2;64;45;41;41;38;52;2;2;0,142467361703505;0;72;62;86;56;45;63;0,951298701298701;0,951966873706004;0,954390451832907;0,970221327967807;0,950757575757576;0,942307692307692;0,96283255086072;0,965097831835008;0,970177838577291;0,962987012987013;0,965656565656566;0,957501280081925;0,964320866141732;0,962757344436734;0,966987850858819;0,969253843269591;0,957375957375957;0,960629921259842
2;3;64;45;41;41;38;52;2;2;0,142467361703505;0;104;78;108;73;53;76;0,966106442577031;0,952494873547505;0,96541184041184;0,939878234398782;0,925683060109289;0,942460317460317;0,967699775952203;0,964368964368964;0,968155070958809;0,958904109589041;0,957184325108853;0,974736842105263;0,971687492964089;0,964893171344784;0,970568700705687;0,958526216343883;0,955752212389381;0,965775950668037
2;4;64;45;41;41;38;52;2;2;0,142467361703505;0;120;96;125;92;82;87;0,953728264073092;0,954621848739496;0,961002178649237;0,958631256384066;0,950819672131148;0,970998632010944;0,971428571428571;0,966885964912281;0,968774193548387;0,972527472527473;0,972598614875038;0,968457631649292;0,970285346492169;0,968631062001228;0,969496021220159;0,971147943523634;0,966200466200466;0,97459335932249
2;5;64;45;41;41;38;52;2;2;0,142467361703505;0;138;122;147;101;117;108;0,965905536440413;0,963309103496019;0,962777515351913;0,963498501146182;0,958208428848528;0,962717359269083;0,970591346662435;0,965316352797724;0,971857236045103;0,964356435643564;0,971853816681403;0,970578054690204;0,969549521268247;0,968445035124359;0,968301463369021;0,968831289483463;0,966287636130685;0,966626984126984
